,Unnamed: 0,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Gene.ID
0,0,201562_s_at,9.24e-09,1.69e-13,-12.79759,20.485939,-3.42262085,SORD,sorbitol dehydrogenase,6652
1,1,214735_at,3.88e-08,1.42e-12,-11.736855,18.513097,-3.73025059,IPCEF1,interaction protein for cytohesin exchange factors 1,26034
2,2,228546_at,7e-08,3.84e-12,-11.261373,17.581285,-3.75685251,DPP6,dipeptidyl peptidase like 6,1804
5,5,238009_at,7.87e-08,8.63e-12,-10.883749,16.819481,-2.30020558,SOX5,SRY-box 5,6660
8,8,207789_s_at,8.77e-08,1.64e-11,-10.59042,16.214159,-2.67126347,DPP6,dipeptidyl peptidase like 6,1804
9,9,211215_x_at,8.77e-08,1.64e-11,-10.590214,16.213728,-2.05329888,DIO2,"deiodinase, iodothyronine, type II",1734
16,16,219945_at,9.62e-08,3.01e-11,-10.316572,15.638164,-2.46762103,DDX25,DEAD-box helicase 25,29118
17,17,224339_s_at,9.62e-08,3.34e-11,-10.270852,15.540967,-3.9960996,ANGPTL1,angiopoietin like 1,9068
18,18,202136_at,9.62e-08,3.4e-11,-10.262259,15.522668,-1.58326758,ZMYND11,zinc finger MYND-type containing 11,10771
22,22,226829_at,1.21e-07,5.66e-11,-10.03753,15.040324,-3.22651092,AFAP1L2,actin filament associated protein 1 like 2,84632
27,27,203319_s_at,1.21e-07,6.49e-11,-9.977303,14.90983,-1.59893806,ZNF148,zinc finger protein 148,7707
36,36,205721_at,1.57e-07,1.06e-10,-9.763143,14.441604,-1.88105355,GFRA2,GDNF family receptor alpha 2,2675
38,38,227081_at,1.63e-07,1.16e-10,-9.724342,14.356068,-3.34931744,DNALI1,dynein axonemal light intermediate chain 1,7802
40,40,206498_at,1.81e-07,1.41e-10,-9.639288,14.167806,-2.87689735,OCA2,OCA2 melanosomal transmembrane protein,4948
42,42,230536_at,1.81e-07,1.42e-10,-9.63632,14.161217,-2.17995677,PBX4,PBX homeobox 4,80714
49,49,231773_at,2.23e-07,2.04e-10,-9.482346,13.817685,-3.63950452,ANGPTL1,angiopoietin like 1,9068
51,51,226744_at,2.46e-07,2.34e-10,-9.424376,13.687461,-1.20315845,LOC284009///METTL16,uncharacterized LOC284009///methyltransferase like 16,284009///79066
52,52,219836_at,2.46e-07,2.38e-10,-9.416112,13.668857,-4.3393417,ZBED2,zinc finger BED-type containing 2,79413
55,55,211922_s_at,2.61e-07,2.68e-10,-9.367296,13.558762,-2.0080164,CAT,catalase,847
59,59,218711_s_at,3.14e-07,3.45e-10,-9.260254,13.31614,-3.38614582,SDPR,serum deprivation response,8436
60,60,203187_at,3.14e-07,3.51e-10,-9.25309,13.299842,-1.4078414,DOCK1,dedicator of cytokinesis 1,1793
61,61,227091_at,3.38e-07,3.83e-10,-9.216342,13.21613,-2.91560229,CCDC146,coiled-coil domain containing 146,57639
62,62,1552733_at,3.7e-07,4.26e-10,-9.17103,13.11264,-2.10132505,KLHDC1,kelch domain containing 1,122773
64,64,218723_s_at,3.84e-07,4.57e-10,-9.142394,13.047082,-2.21152038,RGCC,regulator of cell cycle,28984
69,69,222984_at,4.54e-07,5.81e-10,-9.042137,12.816629,-0.61088366,PAIP2,poly(A) binding protein interacting protein 2,51247
73,73,217897_at,4.62e-07,6.25e-10,-9.011384,12.745648,-2.23670367,FXYD6,FXYD domain containing ion transport regulator 6,53826
74,74,228064_at,4.63e-07,6.36e-10,-9.004617,12.730011,-1.52894653,LRRC75B,leucine rich repeat containing 75B,388886
79,79,227334_at,5.71e-07,8.36e-10,-8.891335,12.467258,-3.06925997,USP54,ubiquitin specific peptidase 54,159195
81,81,209470_s_at,5.81e-07,8.72e-10,-8.874101,12.427123,-3.68499646,GPM6A,glycoprotein M6A,2823
82,82,226719_at,5.84e-07,8.86e-10,-8.867223,12.411093,-1.17007971,DERL2,derlin 2,51009
83,83,226560_at,6.02e-07,9.28e-10,-8.848343,12.367057,-2.85790525,SGPP2,sphingosine-1-phosphate phosphatase 2,130367
85,85,228368_at,6.07e-07,9.55e-10,-8.83656,12.339549,-2.35565835,ARHGAP20,Rho GTPase activating protein 20,57569
87,87,213071_at,6.11e-07,9.83e-10,-8.824696,12.31183,-3.39816823,DPT,dermatopontin,1805
95,95,235228_at,7.3e-07,1.28e-09,-8.715986,12.056902,-2.65496454,CCDC85A,coiled-coil domain containing 85A,114800
96,96,227753_at,7.4e-07,1.31e-09,-8.706274,12.034044,-3.38665999,TMEM139,transmembrane protein 139,135932
98,98,201752_s_at,7.99e-07,1.45e-09,-8.666818,11.941046,-1.53450215,ADD3,adducin 3,120
99,99,203639_s_at,8.05e-07,1.49e-09,-8.655855,11.915165,-2.48649052,FGFR2,fibroblast growth factor receptor 2,2263
104,104,201588_at,8.34e-07,1.6e-09,-8.624975,11.842176,-1.4730324,TXNL1,thioredoxin like 1,9352
106,106,200696_s_at,8.7e-07,1.72e-09,-8.597173,11.776345,-1.34469444,GSN,gelsolin,2934
108,108,204294_at,8.84e-07,1.76e-09,-8.586348,11.750683,-1.37895516,AMT,aminomethyltransferase,275
110,110,219436_s_at,8.99e-07,1.82e-09,-8.57233,11.717429,-2.68251762,EMCN,endomucin,51705
113,113,204519_s_at,9.56e-07,1.99e-09,-8.536599,11.632535,-1.84267436,PLLP,plasmolipin,51090
115,115,237058_x_at,9.76e-07,2.07e-09,-8.521126,11.595715,-3.58879301,SLC6A13,solute carrier family 6 member 13,6540
116,116,210461_s_at,1.02e-06,2.17e-09,-8.501243,11.548352,-2.23651333,ABLIM1,actin binding LIM protein 1,3983
117,117,1554147_s_at,1.03e-06,2.22e-09,-8.492112,11.526585,-1.90542961,MAATS1,MYCBP associated and testis expressed 1,89876
119,119,210039_s_at,1.07e-06,2.35e-09,-8.470053,11.473943,-1.8096369,PRKCQ,protein kinase C theta,5588
120,120,216221_s_at,1.08e-06,2.41e-09,-8.460091,11.450147,-1.18567671,PUM2,pumilio RNA binding family member 2,23369
122,122,229839_at,1.09e-06,2.44e-09,-8.454426,11.436611,-2.87762521,SCARA5,scavenger receptor class A member 5,286133
124,124,214798_at,1.11e-06,2.54e-09,-8.438171,11.397739,-1.72136904,ATP2C2,ATPase secretory pathway Ca2+ transporting 2,9914
126,126,227113_at,1.13e-06,2.65e-09,-8.421535,11.357921,-1.45468929,ADHFE1,"alcohol dehydrogenase, iron containing 1",137872
132,132,1552275_s_at,1.2e-06,2.91e-09,-8.384203,11.26842,-1.97188958,PXK,PX domain containing serine/threonine kinase like,54899
133,133,229994_at,1.2e-06,2.94e-09,-8.379275,11.256591,-3.96129718,NFIA,nuclear factor I A,4774
136,136,1563874_at,1.25e-06,3.13e-09,-8.355427,11.199298,-2.61472911,WDR72,WD repeat domain 72,256764
138,138,201563_at,1.28e-06,3.32e-09,-8.330723,11.139863,-3.07536694,SORD,sorbitol dehydrogenase,6652
139,139,223075_s_at,1.28e-06,3.33e-09,-8.330497,11.139319,-3.3365236,AIF1L,allograft inflammatory factor 1 like,83543
140,140,224954_at,1.28e-06,3.33e-09,-8.330373,11.139021,-1.67554474,MIR6778///SHMT1,microRNA 6778///serine hydroxymethyltransferase 1,102466733///6470
143,143,203571_s_at,1.28e-06,3.38e-09,-8.323774,11.123128,-2.48563217,ADIRF,adipogenesis regulatory factor,10974
146,146,221905_at,1.36e-06,3.65e-09,-8.292884,11.048662,-1.25760145,CYLD,CYLD lysine 63 deubiquitinase,1540
149,149,200598_s_at,1.36e-06,3.73e-09,-8.284458,11.028326,-1.22109781,MIR3652///HSP90B1,microRNA 3652///heat shock protein 90 beta family member 1,100500842///7184
153,153,230782_at,1.4e-06,3.93e-09,-8.263854,10.978555,-3.62722178,SORD,sorbitol dehydrogenase,6652
159,159,209369_at,1.63e-06,4.8e-09,-8.184287,10.785799,-3.59405085,ANXA3,annexin A3,306
161,161,235085_at,1.63e-06,4.82e-09,-8.182333,10.781056,-2.03567693,SGK223,homolog of rat pragma of Rnd2,157285
163,163,210038_at,1.64e-06,4.93e-09,-8.173896,10.760563,-2.35668139,PRKCQ,protein kinase C theta,5588
166,166,227243_s_at,1.67e-06,5.14e-09,-8.157193,10.719961,-2.44397581,EBF3,early B-cell factor 3,253738
178,178,218325_s_at,1.78e-06,5.85e-09,-8.105555,10.5942,-1.15903691,DIDO1,death inducer-obliterator 1,11083
179,179,227550_at,1.78e-06,5.87e-09,-8.104171,10.590823,-1.62093105,GFRA1,GDNF family receptor alpha 1,2674
183,183,229341_at,1.82e-06,6.15e-09,-8.08615,10.546845,-1.6832198,TFCP2L1,transcription factor CP2-like 1,29842
184,184,203911_at,1.82e-06,6.17e-09,-8.084623,10.543117,-2.90507176,RAP1GAP,RAP1 GTPase activating protein,5909
186,186,213383_at,1.85e-06,6.34e-09,-8.073908,10.516943,-1.36786746,SBF1,SET binding factor 1,6305
187,187,211726_s_at,1.85e-06,6.41e-09,-8.06996,10.507296,-2.55084591,FMO2,flavin containing monooxygenase 2,2327
188,188,201368_at,1.85e-06,6.41e-09,-8.069921,10.5072,-1.41290995,ZFP36L2,ZFP36 ring finger protein like 2,678
189,189,236783_at,1.88e-06,6.53e-09,-8.06223,10.488401,-2.46837428,KCNIP4,potassium voltage-gated channel interacting protein 4,80333
191,191,201178_at,1.88e-06,6.61e-09,-8.057366,10.476505,-1.12604247,FBXO7,F-box protein 7,25793
192,192,201375_s_at,1.89e-06,6.67e-09,-8.054252,10.468888,-1.04798601,PPP2CB,protein phosphatase 2 catalytic subunit beta,5516
193,193,214598_at,1.89e-06,6.7e-09,-8.052274,10.464051,-3.77494935,CLDN8,claudin 8,9073
198,198,206043_s_at,1.9e-06,6.92e-09,-8.039332,10.432377,-2.03139852,ATP2C2,ATPase secretory pathway Ca2+ transporting 2,9914
199,199,215130_s_at,1.9e-06,6.96e-09,-8.037374,10.427583,-1.61631836,IQCK,IQ motif containing K,124152
200,200,205700_at,1.94e-06,7.15e-09,-8.026813,10.401719,-3.73660792,HSD17B6,hydroxysteroid 17-beta dehydrogenase 6,8630
202,202,205882_x_at,1.95e-06,7.3e-09,-8.018567,10.381513,-1.51083929,ADD3,adducin 3,120
203,203,232424_at,1.95e-06,7.33e-09,-8.016624,10.37675,-2.90845525,PRDM16,PR/SET domain 16,63976
209,209,207983_s_at,1.96e-06,7.51e-09,-8.007265,10.353803,-0.92486591,STAG2,stromal antigen 2,10735
