,Unnamed: 0,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
0,0,8056611,3.21e-08,1.33e-12,-48.182918,18.33419,-5.4715871,LRP2,LDL receptor related protein 2
1,1,7988350,3.21e-08,4.09e-12,-42.7343204,17.58642,-5.5746511,DUOX2,dual oxidase 2
2,2,8122744,3.21e-08,4.18e-12,-42.6328614,17.5709,-6.2108199,IYD,iodotyrosine deiodinase
4,4,7947274,3.21e-08,5.22e-12,-41.640789,17.41576,-4.4265976,MPPED2,metallophosphoesterase domain containing 2
5,5,8072436,3.21e-08,6.79e-12,-40.4876084,17.22731,-4.5835599,INPP5J,inositol polyphosphate-5-phosphatase J
6,6,8147351,3.21e-08,8.61e-12,-39.4722096,17.05377,-4.2464662,ESRP1///RAF1,"epithelial splicing regulatory protein 1///Raf-1 proto-oncogene, serine/threonine kinase"
7,7,7906079,3.21e-08,9.1e-12,-39.2432295,17.0136,-4.8480563,RAB25,"RAB25, member RAS oncogene family"
8,8,8039996,3.21e-08,9.59e-12,-39.0219741,16.97442,-5.5026882,TPO,thyroid peroxidase
9,9,8106448,3.21e-08,9.67e-12,-38.989306,16.96861,-5.8134302,PDE8B,phosphodiesterase 8B
10,10,7983413,3.46e-08,1.16e-11,-38.2208751,16.82947,-4.539032,DUOX1,dual oxidase 1
11,11,7999291,3.46e-08,1.25e-11,-37.9358282,16.77669,-4.8475513,C16orf89,chromosome 16 open reading frame 89
12,12,8147273,3.72e-08,1.62e-11,-36.9104022,16.58141,-6.0985082,SLC26A7,solute carrier family 26 member 7
13,13,8140140,3.72e-08,1.66e-11,-36.8015863,16.56018,-4.2526219,CLDN3,claudin 3
14,14,7988990,3.72e-08,1.68e-11,-36.7647847,16.55298,-5.0382553,WDR72,WD repeat domain 72
15,15,7965769,4.15e-08,2e-11,-36.0867398,16.41818,-4.6450923,SLC5A8,solute carrier family 5 member 8
16,16,8173825,4.29e-08,2.19e-11,-35.7225909,16.34412,-4.9094032,RPS6KA6,ribosomal protein S6 kinase A6
17,17,8144712,4.56e-08,2.47e-11,-35.2797601,16.25246,-5.0018762,KIAA1456,KIAA1456
18,18,8053073,6.42e-08,3.87e-11,-33.6201486,15.89245,-4.6471472,SLC4A5,solute carrier family 4 member 5
19,19,8041853,6.42e-08,3.87e-11,-33.6183717,15.89205,-5.3134513,EPCAM,epithelial cell adhesion molecule
20,20,7978676,6.42e-08,4.13e-11,-33.3908308,15.84057,-5.0820518,NKX2-1,NK2 homeobox 1
21,21,8001007,6.42e-08,4.25e-11,-33.2897212,15.81752,-4.2672059,PRSS8,"protease, serine 8"
22,22,7976037,8.48e-08,6.13e-11,-32.0081881,15.51602,-5.2683601,TSHR///TSHR,thyroid stimulating hormone receptor///thyroid stimulating hormone receptor
23,23,7903959,8.48e-08,6.22e-11,-31.9588035,15.50405,-4.117457,PIFO,primary cilia formation
24,24,8081959,8.48e-08,6.37e-11,-31.8762458,15.48396,-4.4092066,STXBP5L,syntaxin binding protein 5 like
25,25,7983405,9.64e-08,7.53e-11,-31.3107064,15.34431,-5.5024719,DUOXA2,dual oxidase maturation factor 2
26,26,8068651,9.71e-08,7.93e-11,-31.1408356,15.30163,-5.0061126,PCP4,Purkinje cell protein 4
27,27,7979524,9.71e-08,8.17e-11,-31.0388427,15.27585,-3.8881739,TMEM30B,transmembrane protein 30B
28,28,7988380,9.73e-08,8.48e-11,-30.91608,15.24465,-3.5884092,DUOXA1,dual oxidase maturation factor 1
29,29,8147697,9.95e-08,8.98e-11,-30.7288643,15.19673,-3.5256199,GRHL2,grainyhead like transcription factor 2
30,30,8044143,1.02e-07,9.53e-11,-30.5330672,15.14615,-5.0581131,C2orf40,chromosome 2 open reading frame 40
31,31,7932453,1.19e-07,1.14e-10,-29.9418256,14.99056,-5.2109483,NEBL,nebulette
32,32,8092800,1.19e-07,1.18e-10,-29.8441455,14.96443,-4.1885229,ATP13A4,ATPase 13A4
33,33,8149685,1.24e-07,1.27e-10,-29.6112899,14.90165,-3.6366382,LGI3,leucine rich repeat LGI family member 3
