,Unnamed: 0,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
39,39,8037374,2.13e-07,2.57e-10,27.4592475,14.28668,3.3236884,PLAUR,"plasminogen activator, urokinase receptor"
70,70,7921868,6.15e-07,1.31e-09,23.0381146,12.79267,3.8527374,FCGR3A,Fc fragment of IgG receptor IIIa
82,82,7960874,8.96e-07,2.24e-09,21.7506996,12.28715,3.3756313,C3AR1,complement component 3a receptor 1
96,96,7985873,1.3e-06,3.81e-09,20.5369348,11.7758,3.1214335,TICRR,TOPBP1 interacting checkpoint and replication regulator
100,100,7982757,1.66e-06,5.05e-09,19.9168401,11.50037,3.7006599,KNL1,kinetochore scaffold 1
106,106,7982889,1.83e-06,5.9e-09,19.5833421,11.34801,3.6367196,NUSAP1,nucleolar and spindle associated protein 1
120,120,7979307,2.49e-06,9.04e-09,18.6973114,10.92807,4.5452211,DLGAP5,DLG associated protein 5
123,123,8086600,2.56e-06,9.54e-09,18.5882972,10.87481,3.6532179,CCR1,C-C motif chemokine receptor 1
124,124,8040223,2.57e-06,9.71e-09,18.5528742,10.85743,4.8865397,RRM2,ribonucleotide reductase regulatory subunit M2
135,135,8082035,3.23e-06,1.32e-08,17.9404042,10.55078,3.19664,CD86,CD86 molecule
143,143,8063043,4.01e-06,1.74e-08,17.4147374,10.27799,2.9426773,UBE2C,ubiquitin conjugating enzyme E2 C
146,146,7965094,4.35e-06,1.93e-08,17.2204818,10.17485,3.4020485,E2F7,E2F transcription factor 7
149,149,8024900,4.46e-06,2.01e-08,17.1353329,10.12922,3.5239153,UHRF1,ubiquitin like with PHD and ring finger domains 1
151,151,7937020,4.5e-06,2.06e-08,17.0961033,10.10812,4.4505198,MKI67,marker of proliferation Ki-67
153,153,8033445,4.64e-06,2.15e-08,17.0135005,10.06351,2.6077118,CD209///CLEC4M,CD209 molecule///C-type lectin domain family 4 member M
157,157,7990345,5.15e-06,2.45e-08,16.7753564,9.93354,4.0847228,SEMA7A,semaphorin 7A (John Milton Hagen blood group)
158,158,8026806,5.16e-06,2.47e-08,16.7606591,9.92545,2.1671844,COLGALT1,collagen beta(1-O)galactosyltransferase 1
179,179,7915926,6.97e-06,3.78e-08,15.9976521,9.49457,2.4922956,STIL,SCL/TAL1 interrupting locus
182,182,8061579,7.81e-06,4.31e-08,15.7669298,9.35987,4.4100997,TPX2,"TPX2, microtubule nucleation factor"
185,185,8151101,8.12e-06,4.54e-08,15.6768904,9.30673,2.8437038,MYBL1,MYB proto-oncogene like 1
197,197,8070194,1.03e-05,6.16e-08,15.1610494,8.99585,2.8321011,RUNX1,runt related transcription factor 1
200,200,8043602,1.03e-05,6.26e-08,15.1342188,8.97937,3.5759264,NCAPH,non-SMC condensin I complex subunit H
204,204,8039257,1.11e-05,6.86e-08,14.9813265,8.88489,3.2466518,LAIR1,leukocyte associated immunoglobulin like receptor 1
205,205,8058765,1.12e-05,6.91e-08,14.9693543,8.87745,2.3426133,FN1,fibronectin 1
206,206,8106743,1.16e-05,7.19e-08,14.9042428,8.83687,3.80682,VCAN,versican
208,208,8067270,1.23e-05,7.71e-08,14.7892275,8.76473,3.3832284,APCDD1L,APC down-regulated 1 like
209,209,8059413,1.24e-05,7.87e-08,14.7558442,8.74368,2.5577995,DOCK10,dedicator of cytokinesis 10
210,210,7938485,1.24e-05,7.88e-08,14.755145,8.74324,2.5438092,MICAL2,"microtubule associated monooxygenase, calponin and LIM domain containing 2"
211,211,8043945,1.27e-05,8.08e-08,14.7132009,8.71672,2.129125,MAP4K4,mitogen-activated protein kinase kinase kinase kinase 4
218,218,8155214,1.38e-05,9.11e-08,14.5208709,8.59411,3.6935794,MELK,maternal embryonic leucine zipper kinase
222,222,8051573,1.52e-05,1.02e-07,14.337923,8.47589,2.1222645,CDC42EP3,CDC42 effector protein 3
223,223,8008784,1.52e-05,1.02e-07,14.3358016,8.47451,3.1091312,PRR11,proline rich 11
224,224,7906400,1.52e-05,1.03e-07,14.3268547,8.46869,1.6624575,IFI16,interferon gamma inducible protein 16
225,225,8178095,1.53e-05,1.05e-07,14.2926623,8.4464,3.4701316,C2,complement component 2
226,226,8179331,1.53e-05,1.05e-07,14.2926623,8.4464,3.4701316,C2,complement component 2
