,Unnamed: 0,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Gene.ID
4,4,3_17_5,5.84e-05,2.34e-08,16.205911,9.67095,4.7201851,PBK,PDZ binding kinase,55872
16,16,4_18_4,0.0001478,2.01e-07,12.863536,7.75308,3.9122134,CENPF,"centromere protein F, 350/400ka (mitosin)",1063
19,19,8_6_2,0.0001728,3.1e-07,12.273449,7.35054,2.699581,ZWINTAS///ZWINT,ZW10 interactor antisense///ZW10 interactor,53588///11130
22,22,25_18_3,0.0001728,3.57e-07,12.086567,7.21835,4.1828311,FN1,fibronectin 1,2335
25,25,12_5_8,0.0001728,3.64e-07,12.05974,7.19919,4.0568499,FN1,fibronectin 1,2335
29,29,25_20_1,0.0001837,4.42e-07,11.808805,7.01753,3.1412114,RUNX1,runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene),861
30,30,2_28_2,0.0002124,5.27e-07,11.581273,6.84901,2.2828889,KIF2C,kinesin family member 2C,11004
31,31,14_12_4,0.000222,5.69e-07,11.485085,6.77665,3.6708957,CENPA,centromere protein A,1058
34,34,58_29_7,0.0002517,7.42e-07,11.155297,6.52342,3.366471,CD86,CD86 molecule,942
36,36,14_30_2,0.0002517,7.46e-07,11.147911,6.51766,2.2367262,UCK2,uridine-cytidine kinase 2,7371
37,37,37_5_4,0.0002534,7.71e-07,11.107215,6.48582,2.1913263,LCP2,lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa),3937
43,43,24_30_2,0.000305,1.1e-06,10.683931,6.14704,2.4880477,PAQR4///PKMYT1,"progestin and adipoQ receptor family member IV///protein kinase, membrane associated tyrosine/threonine 1",124222///9088
44,44,8_31_4,0.000305,1.1e-06,10.680162,6.14396,2.6499679,HPR,haptoglobin-related protein,3250
45,45,59_30_1,0.0003137,1.16e-06,10.616075,6.0914,4.0612804,LGALS3,"lectin, galactoside-binding, soluble, 3",3958
50,50,35_18_6,0.0003642,1.49e-06,10.327266,5.85036,4.4680399,CEP55,centrosomal protein 55kDa,55165
52,52,26_27_5,0.0003687,1.57e-06,10.26897,5.80085,4.3734461,TMEM158,transmembrane protein 158,25907
54,54,17_13_2,0.0003839,1.72e-06,10.159614,5.7072,3.166378,DUSP5,dual specificity phosphatase 5,1847
57,57,5_4_3,0.0003839,1.78e-06,10.120287,5.67327,3.0053428,PLK1,polo-like kinase 1 (Drosophila),5347
58,58,55_22_1,0.0003858,1.82e-06,10.095491,5.65181,1.935826,FGFR4,fibroblast growth factor receptor 4,2264
60,60,54_21_1,0.0004081,2.03e-06,9.977719,5.54913,2.2417584,CD68,CD68 molecule,968
