,Unnamed: 0,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Gene.ID
153,153,1558412_at,0.03508,9.89e-05,10.7,2.174558,1.91,MIR1199///MISP3,microRNA 1199///MISP family member 3,102466515///113230
156,156,216550_x_at,0.03539,0.000102,10.6,2.145735,3.26,ANKRD12,ankyrin repeat domain 12,23253
181,181,1559433_at,0.04871,0.000163,9.67,1.704432,1.85,APCDD1L-AS1,APCDD1L antisense RNA 1 (head to head),149773
208,208,211148_s_at,0.05828,0.000223,9.07,1.399268,2.95,ANGPT2,angiopoietin 2,285
213,213,214007_s_at,0.0594,0.000233,8.99,1.357386,2.62,TWF1,twinfilin actin binding protein 1,5756
214,214,212783_at,0.05947,0.000234,8.98,1.351619,2.09,RBBP6,"RB binding protein 6, ubiquitin ligase",5930
216,216,218386_x_at,0.05986,0.000238,8.95,1.336041,1.82,USP16,ubiquitin specific peptidase 16,10600
220,220,205572_at,0.05996,0.000243,8.92,1.31648,3.09,ANGPT2,angiopoietin 2,285
235,235,214499_s_at,0.06512,0.000282,8.65,1.168969,1.91,BCLAF1,BCL2 associated transcription factor 1,9774
240,240,228822_s_at,0.06531,0.000288,8.61,1.14602,1.88,USP16,ubiquitin specific peptidase 16,10600
243,243,241366_at,0.06603,0.000295,8.57,1.122813,2.18,RBAK,RB associated KRAB zinc finger,57786
251,251,61732_r_at,0.06763,0.000312,8.47,1.066764,2.0,IFT74,intraflagellar transport 74,80173
257,257,201083_s_at,0.07171,0.000339,8.33,0.984443,1.73,BCLAF1,BCL2 associated transcription factor 1,9774
260,260,1558214_s_at,0.07266,0.000347,8.29,0.959616,2.19,CTNNA1,catenin alpha 1,1495
270,270,205178_s_at,0.07736,0.000385,8.11,0.855115,2.15,RBBP6,"RB binding protein 6, ubiquitin ligase",5930
271,271,201101_s_at,0.07736,0.000386,8.11,0.852357,2.08,BCLAF1,BCL2 associated transcription factor 1,9774
272,272,209136_s_at,0.07736,0.000387,8.11,0.851173,1.68,USP10,ubiquitin specific peptidase 10,9100
290,290,201143_s_at,0.08568,0.000457,7.83,0.682668,1.93,EIF2S1,eukaryotic translation initiation factor 2 subunit alpha,1965
292,292,223309_x_at,0.08631,0.000465,7.8,0.664016,1.68,PNPLA8,patatin like phospholipase domain containing 8,50640
293,293,224726_at,0.08631,0.000465,7.8,0.663097,1.8,MIB1,mindbomb E3 ubiquitin protein ligase 1,57534
300,300,220136_s_at,0.08833,0.000487,7.73,0.617088,1.36,CRYBA2,crystallin beta A2,1412
306,306,220145_at,0.08871,0.000499,7.69,0.592518,3.75,MAP9,microtubule associated protein 9,79884
308,308,202776_at,0.0898,0.000509,7.66,0.572027,1.73,DNTTIP2,deoxynucleotidyltransferase terminal interacting protein 2,30836
314,314,222765_x_at,0.08982,0.000518,7.63,0.553491,2.1,ESF1,ESF1 nucleolar pre-rRNA processing protein homolog,51575
319,319,236112_at,0.09248,0.000542,7.56,0.507415,1.38,LINC01096,long intergenic non-protein coding RNA 1096,285548
326,326,215177_s_at,0.09332,0.000561,7.51,0.471756,1.45,ITGA6,integrin subunit alpha 6,3655
329,329,203048_s_at,0.09391,0.000567,7.49,0.460034,2.02,TTC37,tetratricopeptide repeat domain 37,9652
