,Unnamed: 0,GeneID,padj,P.Value,lfcSE,stat,logFC,baseMean,Gene.symbol,Description
58,58,3043,5.32e-18,1.36e-20,0.4796,-9.303584,-4.4624577,2964.53,HBB,hemoglobin subunit beta
81,81,222256,1.03e-15,3.67e-18,0.3624,-8.688729,-3.1486856,280.16,CDHR3,cadherin related family member 3
85,85,3977,2.75e-15,1.02e-17,0.3805,-8.571462,-3.2614697,8527.14,LIFR,LIF receptor subunit alpha
89,89,83439,6.26e-15,2.44e-17,0.314,-8.470878,-2.6601388,195.53,TCF7L1,transcription factor 7 like 1
91,91,2823,9.98e-15,3.97e-17,0.4354,-8.413756,-3.6631246,403.67,GPM6A,glycoprotein M6A
96,96,3040,2.65e-14,1.11e-16,0.5648,-8.292271,-4.683722,256.16,HBA2,hemoglobin subunit alpha 2
101,101,3039,5.12e-14,2.26e-16,0.5779,-8.207378,-4.7432858,329.51,HBA1,hemoglobin subunit alpha 1
105,105,80714,1.19e-13,5.44e-16,0.3657,-8.101239,-2.9624354,367.39,PBX4,PBX homeobox 4
110,110,9228,2.16e-13,1.04e-15,0.4922,-8.022497,-3.9485567,87.22,DLGAP2,DLG associated protein 2
111,111,5596,2.34e-13,1.13e-15,0.4927,-8.011517,-3.9469727,343.08,MAPK4,mitogen-activated protein kinase 4
113,113,1646,4.23e-13,2.1e-15,0.4872,-7.935097,-3.8661003,168.93,AKR1C2,aldo-keto reductase family 1 member C2
116,116,23336,5.76e-13,2.92e-15,0.2696,-7.894403,-2.1283389,837.44,SYNM,synemin
124,124,105376004,1.53e-12,8.26e-15,0.7735,-7.763453,-6.0049872,145.86,LOC105376004,uncharacterized LOC105376004
126,126,8671,1.89e-12,1.04e-14,0.4373,-7.734199,-3.3822715,3117.03,SLC4A4,solute carrier family 4 member 4
128,128,157869,2.35e-12,1.32e-14,0.3582,-7.703828,-2.7594769,359.65,SBSPON,somatomedin B and thrombospondin type 1 domain containing
131,131,153579,2.77e-12,1.58e-14,0.3152,-7.680881,-2.4210985,366.94,BTNL9,butyrophilin like 9
139,139,105372132,5.9e-12,3.57e-14,0.6362,-7.575596,-4.8195196,266.02,LOC105372132,uncharacterized LOC105372132
152,152,56943,1.59e-11,1.05e-13,0.1336,-7.43394,-0.9934908,514.21,ENY2,ENY2 transcription and export complex 2 subunit
156,156,642484,2.22e-11,1.51e-13,0.6274,-7.386512,-4.6342361,197.14,LOC642484,uncharacterized LOC642484
167,167,105375180,4.94e-11,3.59e-13,1.1329,-7.270148,-8.2360909,26.37,LOC105375180,uncharacterized LOC105375180
169,169,83473,5.21e-11,3.83e-13,0.2626,-7.26151,-1.9069388,835.6,KATNAL2,katanin catalytic subunit A1 like 2
174,174,9068,8.03e-11,6.08e-13,0.3299,-7.198682,-2.3751084,1077.93,ANGPTL1,angiopoietin like 1
178,178,339855,1.04e-10,8.02e-13,0.402,-7.160781,-2.8783574,493.73,KY,kyphoscoliosis peptidase
181,181,1188,1.07e-10,8.39e-13,0.5587,-7.154569,-3.9972193,285.44,CLCNKB,chloride voltage-gated channel Kb
