,Unnamed: 0,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Gene.ID
0,0,205612_at,9.26e-34,1.69e-38,-21.6998662,76.944584,-4.21712511,MMRN1,multimerin 1,22915
2,2,219059_s_at,2.03e-30,1.12e-34,-19.3682486,68.345009,-3.32036291,LYVE1,lymphatic vessel endothelial hyaluronan receptor 1,10894
3,3,207977_s_at,8.34e-29,6.1e-33,-18.3608828,64.419051,-1.99807503,DPT,dermatopontin,1805
8,8,220037_s_at,1.4000000000000001e-28,2.31e-32,-18.032252,63.109943,-3.45030713,LYVE1,lymphatic vessel endothelial hyaluronan receptor 1,10894
12,12,205083_at,4.7000000000000005e-28,1.12e-31,-17.6475871,61.559721,-2.90293956,AOX1,aldehyde oxidase 1,316
16,16,209612_s_at,1.26e-27,3.91e-31,-17.3454532,60.328505,-3.48433157,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide",125
17,17,209613_s_at,1.57e-27,5.18e-31,-17.2778835,60.051513,-3.76806166,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide",125
19,19,242496_at,3.8800000000000006e-27,1.42e-30,-17.0371863,59.059927,-1.92057836,ART4,ADP-ribosyltransferase 4 (Dombrock blood group),420
21,21,205923_at,4.72e-27,1.9e-30,-16.9680886,58.77386,-2.52406549,RELN,reelin,5649
23,23,214044_at,7.190000000000001e-27,3.16e-30,-16.8472929,58.272251,-2.3613494,RYR2,ryanodine receptor 2,6262
29,29,213071_at,1.41e-26,7.73e-30,-16.6359173,57.389881,-2.76184568,DPT,dermatopontin,1805
30,30,1556427_s_at,1.58e-26,8.93e-30,-16.6020232,57.247845,-1.67946024,LRRN4CL,LRRN4 C-terminal like,221091
34,34,210664_s_at,3.24e-26,2.0800000000000002e-29,-16.4044506,56.416893,-2.09777589,TFPI,tissue factor pathway inhibitor,7035
35,35,206498_at,3.9999999999999996e-26,2.63e-29,-16.349189,56.183554,-2.21261513,OCA2,OCA2 melanosomal transmembrane protein,4948
50,50,206517_at,1.5999999999999998e-25,1.49e-28,-15.9472292,54.474232,-2.91253689,CDH16,cadherin 16,1014
61,61,219643_at,2.98e-25,3.3799999999999997e-28,-15.7586802,53.665141,-3.41805566,LRP1B,LDL receptor related protein 1B,53353
66,66,235746_s_at,4.44e-25,5.45e-28,-15.6498108,53.195854,-3.05079121,PLA2R1,phospholipase A2 receptor 1,22925
67,67,204623_at,4.5e-25,5.6000000000000005e-28,-15.6433822,53.168095,-4.07759094,TFF3,trefoil factor 3,7033
70,70,214591_at,4.87e-25,6.35e-28,-15.6146316,53.043882,-1.38456799,KLHL4,kelch like family member 4,56062
77,77,221447_s_at,6.49e-25,9.26e-28,-15.5287008,52.671991,-2.17446296,GLT8D2,glycosyltransferase 8 domain containing 2,83468
80,80,228973_at,7.38e-25,1.09e-27,-15.49096,52.508354,-1.91593418,DLG2,discs large MAGUK scaffold protein 2,1740
81,81,210039_s_at,7.74e-25,1.16e-27,-15.4772752,52.448974,-1.26193361,PRKCQ,protein kinase C theta,5588
83,83,205082_s_at,1.04e-24,1.6e-27,-15.4051463,52.135594,-1.72550652,AOX1,aldehyde oxidase 1,316
86,86,210665_at,1.18e-24,1.88e-27,-15.3679082,51.973541,-2.07593403,TFPI,tissue factor pathway inhibitor,7035
94,94,209220_at,1.7999999999999997e-24,3.1200000000000003e-27,-15.2529365,51.47208,-1.52296002,GPC3,glypican 3,2719
95,95,209676_at,1.97e-24,3.4600000000000005e-27,-15.2301913,51.372672,-2.05339281,TFPI,tissue factor pathway inhibitor,7035
96,96,218901_at,2.08e-24,3.69e-27,-15.2151132,51.306737,-1.43137951,PLSCR4,phospholipid scramblase 4,57088
101,101,236038_at,2.4199999999999998e-24,4.51e-27,-15.1701774,51.110063,-2.12743982,RNF150,ring finger protein 150,57484
104,104,1555912_at,2.85e-24,5.48e-27,-15.1262635,50.917612,-1.51552436,ST7-AS1,ST7 antisense RNA 1,93653
105,105,207415_at,2.89e-24,5.61e-27,-15.1210533,50.894762,-2.14312603,PLA2R1,phospholipase A2 receptor 1,22925
106,106,219093_at,3.0699999999999998e-24,6.0100000000000005e-27,-15.1052848,50.825586,-1.95212073,PID1,phosphotyrosine interaction domain containing 1,55022
109,109,214735_at,3.4e-24,6.84e-27,-15.0763404,50.698525,-3.13645618,IPCEF1,interaction protein for cytohesin exchange factors 1,26034
110,110,206253_at,3.5199999999999996e-24,7.150000000000001e-27,-15.0664744,50.65519,-2.29050487,DLG2,discs large MAGUK scaffold protein 2,1740
111,111,219355_at,3.63e-24,7.430000000000001e-27,-15.0577675,50.616937,-1.57531597,CXorf57,chromosome X open reading frame 57,55086
112,112,223296_at,3.7e-24,7.640000000000001e-27,-15.0513985,50.588948,-1.4818516,SLC25A33,solute carrier family 25 member 33,84275
117,117,219735_s_at,4.899999999999999e-24,1.06e-26,-14.9786887,50.269061,-1.94160459,TFCP2L1,transcription factor CP2-like 1,29842
120,120,236741_at,6.18e-24,1.37e-26,-14.9209981,50.014771,-2.41629519,WDR72,WD repeat domain 72,256764
125,125,210038_at,8.05e-24,1.85e-26,-14.8528369,49.713783,-1.26183655,PRKCQ,protein kinase C theta,5588
126,126,203387_s_at,9.21e-24,2.14e-26,-14.8208684,49.572413,-1.51106577,TBC1D4,TBC1 domain family member 4,9882
128,128,226303_at,1.15e-23,2.7100000000000004e-26,-14.7685818,49.340915,-1.94716147,PGM5,phosphoglucomutase 5,5239
129,129,204606_at,1.19e-23,2.82e-26,-14.7590003,49.298455,-3.40018887,CCL21,C-C motif chemokine ligand 21,6366
130,130,220114_s_at,1.31e-23,3.15e-26,-14.7348569,49.191415,-1.24081305,STAB2,stabilin 2,55576
132,132,210738_s_at,1.54e-23,3.75e-26,-14.695604,49.017229,-2.79081374,SLC4A4,solute carrier family 4 member 4,8671
133,133,228284_at,1.88e-23,4.61e-26,-14.6499353,48.814329,-1.76076675,TLE1,transducin like enhancer of split 1,7088
134,134,210335_at,1.99e-23,4.9000000000000005e-26,-14.6363288,48.753827,-1.59363288,RASSF9,Ras association domain family member 9,9182
136,136,206043_s_at,2.13e-23,5.33e-26,-14.617924,48.671951,-1.95724663,ATP2C2,ATPase secretory pathway Ca2+ transporting 2,9914
137,137,229839_at,2.64e-23,6.670000000000001e-26,-14.5679554,48.449447,-2.84095428,SCARA5,scavenger receptor class A member 5,286133
141,141,219049_at,3.37e-23,8.75e-26,-14.5078746,48.181502,-2.23394899,CSGALNACT1,chondroitin sulfate N-acetylgalactosaminyltransferase 1,55790
143,143,232720_at,3.37e-23,8.87e-26,-14.5049754,48.168561,-1.87198483,LINGO2,leucine rich repeat and Ig domain containing 2,158038
149,149,229024_at,5.15e-23,1.41e-25,-14.4020738,47.708565,-1.92058003,RNF150,ring finger protein 150,57484
151,151,205382_s_at,5.2000000000000006e-23,1.45e-25,-14.3967602,47.684776,-2.09944354,CFD,complement factor D,1675
152,152,223693_s_at,5.449999999999999e-23,1.52e-25,-14.3851547,47.632807,-0.86956052,RADIL,Rap associating with DIL domain,55698
155,155,230670_at,6.619999999999999e-23,1.89e-25,-14.3380313,47.421617,-1.2528201,IGSF10,immunoglobulin superfamily member 10,285313
156,156,1553559_at,6.63e-23,1.9e-25,-14.3361031,47.41297,-1.45813043,TMEM171,transmembrane protein 171,134285
157,157,1563874_at,7.39e-23,2.13e-25,-14.3109794,47.300256,-2.00192809,WDR72,WD repeat domain 72,256764
159,159,230803_s_at,8.35e-23,2.44e-25,-14.281317,47.167081,-1.55688569,ARHGAP24,Rho GTPase activating protein 24,83478
162,162,230104_s_at,9.45e-23,2.82e-25,-14.2499688,47.02622,-1.97384877,TPPP,tubulin polymerization promoting protein,11076
163,163,228080_at,1.01e-22,3.02e-25,-14.2344301,46.956353,-1.80323122,LAYN,layilin,143903
165,165,227760_at,1.1e-22,3.35e-25,-14.2117522,46.854333,-2.74951197,IGFBPL1,insulin like growth factor binding protein like 1,347252
167,167,228090_at,1.42e-22,4.36e-25,-14.1539318,46.593935,-1.14946503,NMNAT3,nicotinamide nucleotide adenylyltransferase 3,349565
168,168,240039_at,1.42e-22,4.3799999999999995e-25,-14.1533063,46.591116,-1.58350788,PLA2R1,phospholipase A2 receptor 1,22925
170,170,205350_at,1.58e-22,4.95e-25,-14.1261707,46.468767,-3.44337164,CRABP1,cellular retinoic acid binding protein 1,1381
172,172,209470_s_at,1.71e-22,5.42e-25,-14.1066053,46.380494,-3.39159511,GPM6A,glycoprotein M6A,2823
175,175,220133_at,1.73e-22,5.56e-25,-14.1008507,46.354523,-1.72545857,ODAM,"odontogenic, ameloblast asssociated",54959
181,181,204633_s_at,2.15e-22,7.15e-25,-14.0458418,46.106054,-1.40929934,RPS6KA5,ribosomal protein S6 kinase A5,9252
182,182,231358_at,2.21e-22,7.399999999999999e-25,-14.0382005,46.071511,-2.55812445,MRO,maestro,83876
183,183,213258_at,2.58e-22,8.68e-25,-14.0034594,45.914369,-1.90972519,TFPI,tissue factor pathway inhibitor,7035
187,187,220723_s_at,2.98e-22,1.02e-24,-13.9674462,45.75132,-2.62733202,CWH43,cell wall biogenesis 43 C-terminal homolog,80157
189,189,218332_at,3.5000000000000005e-22,1.2099999999999999e-24,-13.9300552,45.581869,-3.15714418,BEX1,brain expressed X-linked 1,55859
190,190,210739_x_at,3.59e-22,1.26e-24,-13.9222761,45.546594,-1.5225959,SLC4A4,solute carrier family 4 member 4,8671
191,191,227091_at,3.59e-22,1.26e-24,-13.9219138,45.544951,-1.90656435,CCDC146,coiled-coil domain containing 146,57639
192,192,230425_at,3.64e-22,1.29e-24,-13.9176787,45.525743,-2.6819364,EPHB1,EPH receptor B1,2047
200,200,209621_s_at,4.5700000000000015e-22,1.68e-24,-13.8593393,45.260937,-1.9048321,PDLIM3,PDZ and LIM domain 3,27295
201,201,235849_at,4.59e-22,1.7e-24,-13.8566101,45.248539,-1.77082988,SCARA5,scavenger receptor class A member 5,286133
202,202,207414_s_at,4.59e-22,1.7e-24,-13.8563103,45.247177,-1.00003029,LOC100507472///PCSK6,uncharacterized LOC100507472///proprotein convertase subtilisin/kexin type 6,100507472///5046
203,203,220724_at,4.63e-22,1.73e-24,-13.8532171,45.233124,-2.7121709,CWH43,cell wall biogenesis 43 C-terminal homolog,80157
207,207,228568_at,5.0900000000000015e-22,1.94e-24,-13.8284381,45.12051,-1.07747438,MYZAP,myocardial zonula adherens protein,100820829
209,209,203685_at,5.300000000000001e-22,2.04e-24,-13.817659,45.071499,-1.67742067,BCL2,"BCL2, apoptosis regulator",596
210,210,222056_s_at,5.6400000000000015e-22,2.18e-24,-13.8031915,45.005696,-1.13664404,FAHD2A,fumarylacetoacetate hydrolase domain containing 2A,51011
214,214,204513_s_at,6.11e-22,2.4e-24,-13.7817593,44.908169,-2.01293366,ELMO1,engulfment and cell motility 1,9844
215,215,202350_s_at,6.43e-22,2.5399999999999998e-24,-13.7695718,44.852686,-2.41965342,LOC100506558///MATN2,uncharacterized LOC100506558///matrilin 2,100506558///4147
217,217,229032_at,6.57e-22,2.62e-24,-13.7629378,44.822477,-2.28354241,WSCD2,WSC domain containing 2,9671
218,218,244675_at,7.91e-22,3.17e-24,-13.7216366,44.634292,-2.83139261,RGS8,regulator of G-protein signaling 8,85397
221,221,222953_at,8.35e-22,3.3899999999999996e-24,-13.7069164,44.567173,-2.24595806,GPR83,G protein-coupled receptor 83,10888
222,222,228107_at,9.31e-22,3.7999999999999995e-24,-13.6823663,44.455176,-1.91893431,C8orf88,chromosome 8 open reading frame 88,100127983
225,225,205985_x_at,1.0100000000000002e-21,4.18e-24,-13.6617573,44.361103,-1.44371081,CLCNKB,chloride voltage-gated channel Kb,1188
230,230,227070_at,1.1500000000000002e-21,4.85e-24,-13.6295927,44.214184,-2.31468634,GLT8D2,glycosyltransferase 8 domain containing 2,83468
235,235,219527_at,1.27e-21,5.4899999999999995e-24,-13.6026848,44.091184,-1.23773758,MARC2,mitochondrial amidoxime reducing component 2,54996
236,236,203684_s_at,1.3400000000000002e-21,5.81e-24,-13.5902029,44.034099,-1.18516961,BCL2,"BCL2, apoptosis regulator",596
238,238,208609_s_at,1.43e-21,6.26e-24,-13.5742271,43.961008,-1.14095253,TNXB///TNXA,tenascin XB///tenascin XA (pseudogene),7148///7146
239,239,219310_at,1.4800000000000002e-21,6.5099999999999996e-24,-13.5656076,43.921561,-1.47558504,SYNDIG1,synapse differentiation inducing 1,79953
244,244,228667_at,1.7100000000000006e-21,7.65e-24,-13.5308122,43.762232,-1.63944049,AGPAT4,1-acylglycerol-3-phosphate O-acyltransferase 4,56895
248,248,226008_at,1.76e-21,8.01e-24,-13.5209838,43.717202,-0.90568859,NSMCE3,"NSE3 homolog, SMC5-SMC6 complex component",56160
253,253,210194_at,2.2500000000000002e-21,1.0399999999999998e-23,-13.4638783,43.455348,-1.71602409,PLA2R1,phospholipase A2 receptor 1,22925
255,255,213068_at,2.36e-21,1.1e-23,-13.4519194,43.400464,-3.02128584,DPT,dermatopontin,1805
257,257,218504_at,2.45e-21,1.15e-23,-13.4421009,43.355391,-1.23252306,FAHD2A,fumarylacetoacetate hydrolase domain containing 2A,51011
258,258,211898_s_at,2.57e-21,1.22e-23,-13.4305259,43.30224,-1.26170768,EPHB1,EPH receptor B1,2047
259,259,204635_at,2.7100000000000004e-21,1.29e-23,-13.4181609,43.245444,-1.21679415,RPS6KA5,ribosomal protein S6 kinase A5,9252
260,260,211494_s_at,2.7100000000000004e-21,1.29e-23,-13.4179455,43.244455,-2.25934733,SLC4A4,solute carrier family 4 member 4,8671
261,261,221636_s_at,3.14e-21,1.5099999999999998e-23,-13.3846552,43.091458,-1.06458078,MARC2,mitochondrial amidoxime reducing component 2,54996
263,263,207047_s_at,3.1800000000000004e-21,1.54e-23,-13.3804465,43.072106,-1.75532525,CLCNKB///CLCNKA,chloride voltage-gated channel Kb///chloride voltage-gated channel Ka,1188///1187
265,265,1554748_at,3.2400000000000004e-21,1.5699999999999997e-23,-13.3754531,43.049144,-2.10264767,CLCNKB,chloride voltage-gated channel Kb,1188
267,267,207220_at,3.56e-21,1.75e-23,-13.3532315,42.946923,-1.1342328,ART4,ADP-ribosyltransferase 4 (Dombrock blood group),420
268,268,227657_at,3.56e-21,1.75e-23,-13.3527686,42.944794,-1.81458236,RNF150,ring finger protein 150,57484
274,274,206806_at,4.58e-21,2.3e-23,-13.2936455,42.672551,-2.87438315,DGKI,diacylglycerol kinase iota,9162
275,275,206085_s_at,4.77e-21,2.41e-23,-13.2842559,42.629278,-1.4794557,CTH,cystathionine gamma-lyase,1491
278,278,214798_at,4.930000000000001e-21,2.5300000000000003e-23,-13.2738081,42.581117,-1.32412506,ATP2C2,ATPase secretory pathway Ca2+ transporting 2,9914
279,279,241017_at,4.930000000000001e-21,2.54e-23,-13.2729278,42.577059,-1.7146547,TBC1D8///RPL31,TBC1 domain family member 8///ribosomal protein L31,11138///6160
281,281,225728_at,4.930000000000001e-21,2.55e-23,-13.2716823,42.571317,-1.73031941,SORBS2,sorbin and SH3 domain containing 2,8470
282,282,209469_at,4.930000000000001e-21,2.56e-23,-13.2712464,42.569307,-3.18874958,GPM6A,glycoprotein M6A,2823
283,283,210261_at,4.930000000000001e-21,2.56e-23,-13.2709955,42.56815,-1.65506937,KCNK2,potassium two pore domain channel subfamily K member 2,3776
284,284,205876_at,4.96e-21,2.5900000000000002e-23,-13.268715,42.557636,-2.02900737,LIFR,leukemia inhibitory factor receptor alpha,3977
285,285,205498_at,4.980000000000001e-21,2.61e-23,-13.2671097,42.550234,-1.9819176,GHR,growth hormone receptor,2690
286,286,1555270_a_at,5.0700000000000004e-21,2.66e-23,-13.2628351,42.530523,-1.29061728,WFS1,wolframin ER transmembrane glycoprotein,7466
288,288,229168_at,6.740000000000001e-21,3.56e-23,-13.2002055,42.24149,-1.95677639,COL23A1,collagen type XXIII alpha 1 chain,91522
290,290,1559871_s_at,7.82e-21,4.16e-23,-13.1670022,42.088082,-1.79214249,LOC100129129,uncharacterized LOC100129129,100129129
294,294,221030_s_at,9.23e-21,4.98e-23,-13.1285649,41.910339,-1.55250616,ARHGAP24,Rho GTPase activating protein 24,83478
297,297,235210_s_at,9.48e-21,5.169999999999999e-23,-13.1205744,41.873369,-1.57663953,SBSPON,somatomedin B and thrombospondin type 1 domain containing,157869
298,298,227174_at,9.77e-21,5.34e-23,-13.1135098,41.840677,-2.53447973,WDR72,WD repeat domain 72,256764
300,300,219945_at,1.01e-20,5.55e-23,-13.1055055,41.80363,-1.72118982,DDX25,DEAD-box helicase 25,29118
301,301,216333_x_at,1.02e-20,5.64e-23,-13.101882,41.786856,-1.40205451,TNXB///TNXA,tenascin XB///tenascin XA (pseudogene),7148///7146
304,304,227642_at,1.08e-20,6.039999999999999e-23,-13.0874422,41.719999,-2.79316089,TFCP2L1,transcription factor CP2-like 1,29842
306,306,213679_at,1.13e-20,6.339999999999999e-23,-13.0769642,41.671471,-1.60786252,TTC30A,tetratricopeptide repeat domain 30A,92104
310,310,236926_at,1.19e-20,6.76e-23,-13.063174,41.607584,-1.03277477,TBX1,T-box 1,6899
311,311,211596_s_at,1.2e-20,6.839999999999999e-23,-13.0607627,41.596411,-1.17828791,LRIG1,leucine rich repeats and immunoglobulin like domains 1,26018
312,312,233814_at,1.21e-20,6.949999999999999e-23,-13.0572383,41.580079,-1.54075331,EFNA5,ephrin A5,1946
313,313,223582_at,1.25e-20,7.18e-23,-13.0503411,41.548114,-1.48684111,ADGRV1,adhesion G protein-coupled receptor V1,84059
315,315,227417_at,1.3e-20,7.529999999999999e-23,-13.0402046,41.501127,-1.3797651,MARC2,mitochondrial amidoxime reducing component 2,54996
316,316,1554749_s_at,1.32e-20,7.65e-23,-13.0369414,41.485998,-1.11871484,CLCNKB,chloride voltage-gated channel Kb,1188
317,317,221556_at,1.35e-20,7.85e-23,-13.0312092,41.45942,-1.10478365,CDC14B,cell division cycle 14B,8555
318,318,205578_at,1.35e-20,7.87e-23,-13.0306984,41.457052,-1.75433257,ROR2,receptor tyrosine kinase like orphan receptor 2,4920
319,319,235228_at,1.35e-20,7.929999999999999e-23,-13.0292368,41.450274,-1.5443152,CCDC85A,coiled-coil domain containing 85A,114800
321,321,242304_at,1.38e-20,8.11e-23,-13.0243123,41.427437,-0.80675751,LOC102724112///PYM1,"uncharacterized LOC102724112///PYM homolog 1, exon junction complex associated factor",102724112///84305
326,326,220203_at,1.61e-20,9.64e-23,-12.9875173,41.256719,-2.11465248,BMP8A,bone morphogenetic protein 8a,353500
328,328,227719_at,1.94e-20,1.16e-22,-12.9472572,41.069757,-1.78433106,SMAD9,SMAD family member 9,4093
329,329,203908_at,1.94e-20,1.17e-22,-12.9461666,41.06469,-2.991904,SLC4A4,solute carrier family 4 member 4,8671
330,330,205221_at,2.07e-20,1.26e-22,-12.9312038,40.995159,-2.37614054,HGD,"homogentisate 1,2-dioxygenase",3081
332,332,243357_at,2.27e-20,1.3800000000000001e-22,-12.9112091,40.902207,-1.18741511,NEGR1,neuronal growth regulator 1,257194
335,335,1569582_at,2.69e-20,1.65e-22,-12.8726123,40.722659,-2.31212259,AADACP1,arylacetamide deacetylase pseudogene 1,201651
336,336,203221_at,2.76e-20,1.7000000000000002e-22,-12.8666287,40.694809,-1.24696718,TLE1,transducin like enhancer of split 1,7088
338,338,207789_s_at,2.87e-20,1.78e-22,-12.8568893,40.649471,-2.28972838,DPP6,dipeptidyl peptidase like 6,1804
340,340,204783_at,2.95e-20,1.84e-22,-12.8501283,40.617992,-1.71525374,MLF1,myeloid leukemia factor 1,4291
344,344,227771_at,3.05e-20,1.9300000000000001e-22,-12.840102,40.571301,-1.731606,LIFR,leukemia inhibitory factor receptor alpha,3977
345,345,210473_s_at,3.11e-20,1.97e-22,-12.8359483,40.551954,-1.47889899,ADGRA3,adhesion G protein-coupled receptor A3,166647
346,346,238835_at,3.3e-20,2.0900000000000002e-22,-12.8224798,40.489211,-2.53103193,AVPR1A,arginine vasopressin receptor 1A,552
347,347,221185_s_at,3.3e-20,2.1e-22,-12.8219894,40.486926,-1.33555945,IQCG,IQ motif containing G,84223
348,348,225796_at,3.31e-20,2.11e-22,-12.8205931,40.48042,-0.87832683,PXK,PX domain containing serine/threonine kinase like,54899
349,349,202921_s_at,3.4e-20,2.18e-22,-12.8143173,40.451177,-1.0087835,ANK2,"ankyrin 2, neuronal",287
355,355,204872_at,3.65e-20,2.38e-22,-12.7955063,40.363496,-1.3973775,TLE4,transducin like enhancer of split 4,7091
356,356,238727_at,3.85e-20,2.52e-22,-12.7835852,40.307912,-2.61218488,LOC440934,uncharacterized LOC440934,440934
357,357,241470_x_at,3.94e-20,2.58e-22,-12.7783097,40.283309,-1.80701081,RASSF9,Ras association domain family member 9,9182
358,358,231334_at,4.4e-20,2.89e-22,-12.754465,40.172071,-2.01143389,LOC101929480,uncharacterized LOC101929480,101929480
359,359,219877_at,4.48e-20,2.95e-22,-12.7499093,40.150811,-2.32838085,ZMAT4,zinc finger matrin-type 4,79698
360,360,212310_at,4.5e-20,2.97e-22,-12.7484151,40.143838,-0.90686618,MIA3,"MIA family member 3, ER export factor",375056
361,361,206093_x_at,4.53e-20,3e-22,-12.7462746,40.133848,-1.33717723,TNXB///TNXA,tenascin XB///tenascin XA (pseudogene),7148///7146
364,364,205236_x_at,4.93e-20,3.29e-22,-12.7266904,40.042425,-1.5593259,SOD3,"superoxide dismutase 3, extracellular",6649
365,365,218386_x_at,4.97e-20,3.33e-22,-12.7242039,40.030815,-0.57615579,USP16,ubiquitin specific peptidase 16,10600
367,367,210817_s_at,5.21e-20,3.51e-22,-12.7129803,39.978399,-0.54550956,CALCOCO2,calcium binding and coiled-coil domain 2,10241
371,371,204417_at,5.33e-20,3.6300000000000003e-22,-12.7060774,39.946156,-0.74393826,GALC,galactosylceramidase,2581
