,Unnamed: 0,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Gene.ID
0,0,209228_x_at,6.09e-20,2.73e-24,20.9,44.599313,3.74,TUSC3,tumor suppressor candidate 3,7991
1,1,203256_at,3.78e-19,3.39e-23,19.6,42.237994,4.82,CDH3,cadherin 3,1001
2,2,202528_at,9.36e-19,1.26e-22,18.9,40.998538,3.56,GALE,UDP-galactose-4-epimerase,2582
3,3,203510_at,1.41e-18,2.54e-22,18.6,40.334485,3.23,MET,"MET proto-oncogene, receptor tyrosine kinase",4233
6,6,210495_x_at,2.48e-18,7.79e-22,18.1,39.269264,4.02,FN1,fibronectin 1,2335
7,7,216442_x_at,5.28e-18,1.89e-21,17.6,38.423437,4.02,FN1,fibronectin 1,2335
8,8,213423_x_at,1.4e-17,5.65e-21,17.1,37.378981,3.84,TUSC3,tumor suppressor candidate 3,7991
9,9,202833_s_at,2.38e-17,1.07e-20,16.9,36.771455,5.03,SERPINA1,serpin family A member 1,5265
10,10,211719_x_at,3.25e-17,1.6e-20,16.7,36.380642,3.92,FN1,fibronectin 1,2335
11,11,211478_s_at,4.09e-17,2.31e-20,16.5,36.028418,4.64,DPP4,dipeptidyl peptidase 4,1803
12,12,212464_s_at,4.09e-17,2.39e-20,16.5,35.997763,3.99,FN1,fibronectin 1,2335
13,13,211429_s_at,1.05e-16,6.91e-20,16.0,34.976954,4.42,SERPINA1,serpin family A member 1,5265
14,14,203716_s_at,1.05e-16,7.08e-20,16.0,34.952981,4.97,DPP4,dipeptidyl peptidase 4,1803
15,15,203717_at,1.07e-16,7.66e-20,16.0,34.877109,3.89,DPP4,dipeptidyl peptidase 4,1803
16,16,205016_at,1.62e-16,1.24e-19,15.8,34.413229,3.9,TGFA,transforming growth factor alpha,7039
17,17,206765_at,1.69e-16,1.37e-19,15.8,34.317913,4.39,KCNJ2,potassium voltage-gated channel subfamily J member 2,3759
18,18,209270_at,2.86e-16,2.44e-19,15.5,33.760335,4.5,LAMB3,laminin subunit beta 3,3914
20,20,200701_at,1.4e-15,1.32e-18,14.8,32.124648,1.7,NPC2,NPC intracellular cholesterol transporter 2,10577
21,21,218313_s_at,1.52e-15,1.5e-18,14.8,32.001715,2.69,GALNT7,polypeptide N-acetylgalactosaminyltransferase 7,51809
22,22,203780_at,1.14e-14,1.18e-17,13.9,30.00101,2.8,MPZL2,myelin protein zero like 2,10205
23,23,202701_at,1.19e-14,1.28e-17,13.9,29.918027,1.61,BMP1,bone morphogenetic protein 1,649
26,26,206884_s_at,3.39e-14,4.11e-17,13.5,28.785895,3.83,SCEL,sciellin,8796
27,27,222173_s_at,4.05e-14,5.09e-17,13.4,28.576028,2.63,TBC1D2,TBC1 domain family member 2,55357
28,28,218182_s_at,5.09e-14,6.63e-17,13.3,28.319354,4.09,CLDN1,claudin 1,9076
30,30,211599_x_at,5.83e-14,8.36e-17,13.2,28.092057,3.37,MET,"MET proto-oncogene, receptor tyrosine kinase",4233
31,31,218309_at,5.83e-14,8.38e-17,13.2,28.090675,3.38,CAMK2N1,calcium/calmodulin dependent protein kinase II inhibitor 1,55450
