,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
0,205350_at,6e-06,3.91e-10,-30.0,12.47252,-1.56,CRABP1,cellular retinoic acid binding protein 1
1,210400_at,6e-06,5.38e-10,-28.9,12.28677,-1.55,GRIN2C,glutamate ionotropic receptor NMDA type subunit 2C
2,204623_at,8.55e-06,1.15e-09,-26.5,11.8212,-2.04,TFF3,trefoil factor 3
3,205413_at,1.231e-05,2.21e-09,-24.5,11.39313,-1.41,MPPED2,metallophosphoesterase domain containing 2
4,203685_at,1.455e-05,3.26e-09,-23.5,11.12446,-1.1,BCL2,"BCL2, apoptosis regulator"
5,204932_at,4.393e-05,1.18e-08,-20.2,10.17647,-1.14,TNFRSF11B,TNF receptor superfamily member 11b
6,213447_at,9.88e-05,3.47e-08,-17.8,9.3161,-1.06,LOC101930404///SNORD116-28///SNORD115-26///SNORD115-13///SNORD115-7///SNORD116-22///SNORD116-4///PWARSN///SNORD107///SNRPN///IPW,"uncharacterized LOC101930404///small nucleolar RNA, C/D box 116-28///small nucleolar RNA, C/D box 115-26///small nucleolar RNA, C/D box 115-13///small nucleolar RNA, C/D box 115-7///small nucleolar RNA, C/D box 116-22///small nucleolar RNA, C/D box 116-4///Prader Willi/Angelman region RNA, SNRPN neighbor///small nucleolar RNA, C/D box 107///small nuclear ribonucleoprotein polypeptide N///imprinted in Prader-Willi syndrome (non-protein coding)"
7,203911_at,9.88e-05,3.8e-08,-17.6,9.2414,-1.1,RAP1GAP,RAP1 GTPase activating protein
8,208399_s_at,9.88e-05,4.16e-08,-17.4,9.16505,-0.976,EDN3,endothelin 3
9,210078_s_at,9.88e-05,4.7e-08,-17.2,9.06341,-0.93,KCNAB1,potassium voltage-gated channel subfamily A member regulatory beta subunit 1
10,219195_at,9.88e-05,5.38e-08,-16.9,8.94818,-0.933,PPARGC1A,PPARG coactivator 1 alpha
