,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Gene.ID
0,201562_s_at,9.24e-09,1.69e-13,-12.79759,20.485939,-3.42262085,SORD,sorbitol dehydrogenase,6652
1,214735_at,3.88e-08,1.42e-12,-11.736855,18.513097,-3.73025059,IPCEF1,interaction protein for cytohesin exchange factors 1,26034
2,228546_at,7e-08,3.84e-12,-11.261373,17.581285,-3.75685251,DPP6,dipeptidyl peptidase like 6,1804
3,204256_at,7.87e-08,6.66e-12,11.003673,17.063529,3.05462048,ELOVL6,ELOVL fatty acid elongase 6,79071
4,219208_at,7.87e-08,8.17e-12,10.909123,16.871283,1.74605544,FBXO11,F-box protein 11,80204
5,238009_at,7.87e-08,8.63e-12,-10.883749,16.819481,-2.30020558,SOX5,SRY-box 5,6660
6,203971_at,7.87e-08,1.02e-11,10.808189,16.664696,1.87965334,SLC31A1,solute carrier family 31 member 1,1317
7,206273_at,7.87e-08,1.15e-11,10.751124,16.547275,0.8810155,PRELID3A,PRELI domain containing 3A,10650
8,207789_s_at,8.77e-08,1.64e-11,-10.59042,16.214159,-2.67126347,DPP6,dipeptidyl peptidase like 6,1804
9,211215_x_at,8.77e-08,1.64e-11,-10.590214,16.213728,-2.05329888,DIO2,"deiodinase, iodothyronine, type II",1734
10,201521_s_at,8.77e-08,1.84e-11,10.538564,16.105898,1.55179849,NCBP2,nuclear cap binding protein subunit 2,22916
11,39549_at,8.77e-08,1.93e-11,10.517635,16.062097,1.9642612,NPAS2,neuronal PAS domain protein 2,4862
12,201512_s_at,9.62e-08,2.5e-11,10.400642,15.816116,1.34684793,TOMM70,translocase of outer mitochondrial membrane 70,9868
13,203755_at,9.62e-08,2.55e-11,10.39031,15.794299,3.7858949,BUB1B,BUB1 mitotic checkpoint serine/threonine kinase B,701
14,242134_at,9.62e-08,2.79e-11,-10.351422,15.712054,-3.81635098,,,
15,208864_s_at,9.62e-08,2.99e-11,10.319365,15.644092,1.0888075,TXN,thioredoxin,7295
16,219945_at,9.62e-08,3.01e-11,-10.316572,15.638164,-2.46762103,DDX25,DEAD-box helicase 25,29118
17,224339_s_at,9.62e-08,3.34e-11,-10.270852,15.540967,-3.9960996,ANGPTL1,angiopoietin like 1,9068
18,202136_at,9.62e-08,3.4e-11,-10.262259,15.522668,-1.58326758,ZMYND11,zinc finger MYND-type containing 11,10771
19,238756_at,9.62e-08,3.52e-11,10.247234,15.490643,2.73449739,GAS2L3,growth arrest specific 2 like 3,283431
20,201669_s_at,1.04e-07,4.01e-11,10.189703,15.367724,1.50018715,MARCKS,myristoylated alanine rich protein kinase C substrate,4082
21,201577_at,1.17e-07,4.71e-11,10.118062,15.213998,1.77816092,NME1,NME/NM23 nucleoside diphosphate kinase 1,4830
22,226829_at,1.21e-07,5.66e-11,-10.03753,15.040324,-3.22651092,AFAP1L2,actin filament associated protein 1 like 2,84632
23,243032_at,1.21e-07,5.86e-11,-10.021741,15.006164,-3.44266582,,,
24,204170_s_at,1.21e-07,6.08e-11,10.006018,14.972112,3.19699564,CKS2,CDC28 protein kinase regulatory subunit 2,1164
25,201573_s_at,1.21e-07,6.32e-11,9.988453,14.934027,0.95608976,ETF1,eukaryotic translation termination factor 1,2107
26,229490_s_at,1.21e-07,6.37e-11,9.985035,14.926613,3.97331132,,,
27,203319_s_at,1.21e-07,6.49e-11,-9.977303,14.90983,-1.59893806,ZNF148,zinc finger protein 148,7707
28,242560_at,1.21e-07,6.7e-11,9.963052,14.878877,2.9898191,FANCD2,Fanconi anemia complementation group D2,2177
29,230255_at,1.21e-07,6.7e-11,9.962868,14.878478,0.88693181,GABRD,gamma-aminobutyric acid type A receptor delta subunit,2563
30,223397_s_at,1.21e-07,6.92e-11,9.949222,14.848811,1.58261254,NIP7,"NIP7, nucleolar pre-rRNA processing protein",51388
31,201477_s_at,1.21e-07,7.11e-11,9.937348,14.822975,1.46615184,RRM1,ribonucleotide reductase catalytic subunit M1,6240
