,GeneID,padj,P.Value,lfcSE,stat,logFC,baseMean,Gene.symbol,Description
0,10568,3.18e-114,1.3800000000000001e-118,0.3232,23.152371,7.4838935,83467.16,SLC34A2,solute carrier family 34 member 2
1,2561,2.19e-96,1.89e-100,0.358,21.276034,7.6177524,3652.55,GABRB2,gamma-aminobutyric acid type A receptor subunit beta2
2,112268430,6.46e-92,8.39e-96,0.2634,20.768238,5.4696924,1898.47,LOC112268430,
3,81501,9.32e-66,1.6099999999999998e-69,0.4796,17.623996,8.4518674,2742.81,DCSTAMP,dendrocyte expressed seven transmembrane protein
4,200879,7.24e-57,1.5599999999999999e-60,0.3959,16.412181,6.4972017,1870.59,LIPH,lipase H
5,23220,1.79e-46,4.65e-50,0.2753,14.87704,4.0961448,11924.02,DTX4,deltex E3 ubiquitin ligase 4
6,10046,8.569999999999999e-46,2.59e-49,0.1582,14.761522,2.3357648,233.29,MAMLD1,mastermind like domain containing 1
7,2335,5.04e-45,1.74e-48,0.4205,14.632432,6.1525947,282584.16,FN1,fibronectin 1
8,25791,4.29e-44,1.6700000000000002e-47,0.4059,14.477948,5.8759085,469.53,NGEF,neuronal guanine nucleotide exchange factor
9,105377694,8.21e-40,3.55e-43,0.4804,13.776071,6.6183743,348.98,LOC105377694,uncharacterized LOC105377694
10,81607,1.43e-39,6.82e-43,0.4536,13.728816,6.2271893,453.58,NECTIN4,nectin cell adhesion molecule 4
11,94234,5.23e-39,2.71e-42,0.2964,13.628405,4.0389841,447.13,FOXQ1,forkhead box Q1
12,9518,8.37e-39,4.7099999999999996e-42,0.4564,13.588154,6.2018528,1088.98,GDF15,growth differentiation factor 15
13,56649,4.95e-37,2.99e-40,0.5601,13.280737,7.4387699,986.24,TMPRSS4,transmembrane serine protease 4
14,64220,5.03e-36,3.26e-39,0.3229,13.100693,4.2304359,228.93,STRA6,signaling receptor and transporter of retinol STRA6
15,94122,2.16e-33,1.49e-36,0.5355,12.627368,6.7624959,855.48,SYTL5,synaptotagmin like 5
16,6712,2.17e-33,1.6e-36,0.2864,12.622032,3.6149585,749.8,SPTBN2,"spectrin beta, non-erythrocytic 2"
17,196410,5.01e-33,3.9e-36,0.3752,12.551569,4.7092262,381.57,METTL7B,methyltransferase like 7B
18,10331,1.26e-32,1.04e-35,0.625,12.473778,7.7966251,1768.98,B3GNT3,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3"
19,6324,5.59e-31,4.83e-34,0.1992,12.163991,2.4234514,245.23,SCN1B,sodium voltage-gated channel beta subunit 1
20,164656,1.8900000000000002e-29,1.72e-32,0.5486,11.868991,6.5111671,783.4,TMPRSS6,transmembrane serine protease 6
21,284656,1.68e-28,1.6e-31,0.4126,11.68057,4.8193801,138.81,EPHA10,EPH receptor A10
22,57477,4e-28,3.980000000000001e-31,0.2235,11.602897,2.593326,3614.62,SHROOM4,shroom family member 4
23,91683,6.7899999999999995e-28,7.05e-31,0.7022,11.553952,8.1130775,825.95,SYT12,synaptotagmin 12
24,10577,1.6200000000000003e-27,1.83e-30,0.2405,11.471944,2.7593444,14048.49,NPC2,NPC intracellular cholesterol transporter 2
25,100616211,1.6200000000000003e-27,1.82e-30,0.2348,11.472256,2.6936975,9073.44,MIR4709,microRNA 4709
26,4233,8.91e-25,1.0400000000000002e-27,0.3313,10.909316,3.6142833,22478.55,MET,"MET proto-oncogene, receptor tyrosine kinase"
27,4070,2.4199999999999998e-24,2.93e-27,0.5032,10.814857,5.4416795,3969.36,TACSTD2,tumor associated calcium signal transducer 2
28,5655,4.28e-24,5.3700000000000004e-27,0.5052,10.759063,5.4356077,369.38,KLK10,kallikrein related peptidase 10
29,170261,4.57e-24,5.940000000000001e-27,0.6779,10.749861,7.2877414,1970.86,ZCCHC12,zinc finger CCHC-type containing 12
30,6258,8.54e-24,1.15e-26,0.4832,10.689074,5.1647747,641.55,RXRG,retinoid X receptor gamma
31,107986201,9.11e-24,1.26e-26,0.4719,10.680119,5.0402118,313.41,LOC107986201,uncharacterized LOC107986201
32,4038,4.6999999999999995e-23,6.71e-26,0.3651,10.523867,3.8421858,2969.5,LRP4,LDL receptor related protein 4
33,442117,1.66e-22,2.44e-25,0.4724,10.401543,4.9138088,314.84,GALNTL6,polypeptide N-acetylgalactosaminyltransferase like 6
34,10686,2.4e-22,3.63e-25,0.626,10.363627,6.487605,2754.06,CLDN16,claudin 16
35,3786,4.19e-22,6.52e-25,0.4321,10.307464,4.4537239,1777.75,KCNQ3,potassium voltage-gated channel subfamily Q member 3
36,5265,1.38e-21,2.2e-24,0.5141,10.189684,5.2389854,14453.53,SERPINA1,serpin family A member 1
37,146429,1.4400000000000001e-21,2.37e-24,0.6943,10.182839,7.0697922,159.63,SLC22A31,solute carrier family 22 member 31
38,53358,1.52e-21,2.5599999999999997e-24,0.2708,10.175201,2.7549981,543.17,SHC3,SHC adaptor protein 3
39,112268287,1.72e-21,3.0499999999999998e-24,0.5873,10.157954,5.9660188,169.84,LOC112268287,
40,100507401,1.72e-21,3.01e-24,0.3696,10.159425,3.7546829,148.68,LRP4-AS1,LRP4 antisense RNA 1
41,441094,3.6700000000000006e-21,6.67e-24,0.3253,10.081558,3.2798284,582.7,NR2F1-AS1,NR2F1 antisense RNA 1
42,1803,4.2e-21,7.81e-24,0.5043,10.066034,5.076713,3875.38,DPP4,dipeptidyl peptidase 4
43,2582,4.39e-21,8.35e-24,0.3307,10.059426,3.3265989,763.55,GALE,UDP-galactose-4-epimerase
44,2621,1.23e-20,2.39e-23,0.1466,9.955261,1.4595467,4325.09,GAS6,growth arrest specific 6
45,400794,4.11e-20,8.169999999999999e-23,0.8636,9.832349,8.49104,237.56,LRRC52-AS1,LRRC52 antisense RNA 1
