,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Gene.ID
0,3_31_2,7.72e-09,6.18e-13,-23.1211303,17.85021,-4.5070876,CRABP1,cellular retinoic acid binding protein 1,1381
1,39_13_7,3.51e-08,5.62e-12,-19.7967908,16.36077,-5.4658969,DMD,"dystrophin (muscular dystrophy, Duchenne and Becker types)",1756
2,51_20_3,6.9e-08,1.96e-11,-18.1194838,15.44802,-5.0475288,CMAH,cytidine monophosphate-N-acetylneuraminic acid hydroxylase (CMP-N-acetylneuraminate monooxygenase),8418
3,3_8_6,6.9e-08,2.21e-11,-17.9640023,15.35696,-5.79651,AKT3,"v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)",10000
4,51_25_3,1.65e-07,6.6e-11,-16.614341,14.51538,-3.623811,FZD1,frizzled homolog 1 (Drosophila),8321
5,45_29_4,1.74e-07,8.39e-11,-16.330562,14.32603,-4.1421982,CD97,CD97 molecule,976
6,40_18_7,9.8e-07,5.49e-10,-14.2547297,12.7916,-3.706897,PBX1,pre-B-cell leukemia homeobox 1,5087
7,19_8_6,1.01e-06,6.47e-10,-14.0858123,12.65409,-2.8120799,,,
8,25_24_6,4.45e-06,3.21e-09,-12.5207682,11.27615,-2.4974325,MGLL,monoglyceride lipase,11343
9,33_16_5,1.46e-05,1.17e-08,-11.3670142,10.12647,-1.9432805,ARHGAP6,Rho GTPase activating protein 6,395
10,39_7_4,1.61e-05,1.42e-08,11.1993242,9.94885,1.9772383,P4HA2,"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide II",8974
11,35_8_6,3.42e-05,3.29e-08,-10.5043298,9.18198,-3.0551016,ARHGAP25,Rho GTPase activating protein 25,9938
12,44_13_6,6.04e-05,6.29e-08,-9.9919526,8.58326,-3.394822,MRPS15///EPHB1,mitochondrial ribosomal protein S15///EPH receptor B1,64960///2047
13,24_22_2,6.71e-05,7.53e-08,-9.8527522,8.41546,-1.5142491,SEPP1,"selenoprotein P, plasma, 1",6414
14,30_13_7,6.74e-05,8.1e-08,-9.7972719,8.34795,-4.687379,MMRN1,multimerin 1,22915
15,30_23_6,9.67e-05,1.3e-07,-9.4402068,7.90475,-1.5265044,NFIA,nuclear factor I/A,4774
16,12_18_3,9.67e-05,1.32e-07,-9.4306484,7.89267,-2.1308062,PAPSS2,3'-phosphoadenosine 5'-phosphosulfate synthase 2,9060
17,4_22_7,0.000116,1.69e-07,-9.245827,7.65698,-1.6680522,EPHA3,EPH receptor A3,2042
18,46_8_6,0.000116,1.77e-07,9.213117,7.61482,1.7639857,EML4,echinoderm microtubule associated protein like 4,27436
19,56_26_4,0.000116,1.86e-07,-9.1784578,7.57001,-1.9559716,EPHA3,EPH receptor A3,2042
20,41_23_5,0.000128,2.22e-07,-9.0498266,7.40238,-1.8623691,TAOK3,TAO kinase 3,51347
21,6_11_6,0.000128,2.25e-07,-9.037933,7.38678,-2.2756464,RRAGD,Ras-related GTP binding D,58528
22,9_8_6,0.000146,2.75e-07,-8.8942707,7.19685,-1.6874947,PPM1F,protein phosphatase 1F (PP2C domain containing),9647
23,45_17_1,0.000146,2.84e-07,-8.8726259,7.16801,-1.5869711,FOLR1,folate receptor 1 (adult),2348
24,36_2_7,0.000146,2.93e-07,-8.8502698,7.13815,-3.3231429,KIAA1324,KIAA1324,57535
25,38_16_6,0.000152,3.17e-07,-8.7946925,7.06365,-2.4558359,FAM84A,"family with sequence similarity 84, member A",151354
26,13_4_6,0.000184,4.07e-07,-8.6189389,6.82539,-1.909527,TBC1D4,"TBC1 domain family, member 4",9882
27,50_8_6,0.000184,4.12e-07,-8.6100086,6.81318,-1.975139,,,
