GeneID	GSM4648925	GSM4648926	GSM4648927	GSM4648928	GSM4648929	GSM4648930	GSM4648931	GSM4648932	GSM4648933	GSM4648934	GSM4648935	GSM4648936	GSM4648937	GSM4648938	GSM4648939	GSM4648940	GSM4648941	GSM4648942	GSM4648943	GSM4648944	GSM4648945	GSM4648946	GSM4648947	GSM4648948	GSM4648949	GSM4648950	GSM4648951	GSM4648952	GSM4648953	GSM4648954	GSM4648955
100287102	0	0	1	0	4	5	1	1	2	2	3	3	0	1	6	2	5	2	1	0	3	5	1	1	1	7	9	7	0	2	4
653635	775	896	611	740	2257	1153	1094	693	962	1103	1106	899	1121	777	398	759	1101	824	1338	553	625	1064	2025	664	1606	2151	1947	1318	710	670	2018
102466751	26	30	10	23	127	45	34	16	48	30	47	22	44	18	10	29	34	63	40	6	16	43	108	35	41	83	69	41	11	30	109
107985730	2	2	2	0	2	0	1	0	3	1	1	1	3	0	1	1	1	0	2	2	1	0	2	1	4	1	1	2	0	0	5
100302278	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	1
645520	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	2	0	0	0	0	2	1	3	1	0	4	1	0	7
79501	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
100996442	27	86	29	48	103	76	55	39	113	66	65	57	64	30	41	65	70	127	77	55	70	95	66	39	69	97	53	73	37	85	77
729737	66	308	100	136	567	1450	678	105	290	236	632	322	389	142	73	184	742	1156	552	178	263	848	783	401	907	675	288	153	306	539	779
102725121	0	1	0	1	9	4	3	1	1	0	2	8	0	1	10	1	4	2	0	0	2	6	2	0	0	5	4	7	0	1	1
102723897	851	1010	761	939	2818	1774	1208	752	918	1173	1058	942	1198	927	443	885	1057	1117	1364	656	622	1736	2013	751	1641	2425	2365	1462	989	657	2182
102465909	20	12	7	12	59	30	21	10	30	21	17	16	27	7	9	20	17	34	26	10	23	32	63	20	15	60	54	31	8	16	61
107985721	1	2	5	0	1	1	4	1	3	1	0	0	1	2	1	0	2	2	2	1	2	5	5	0	0	3	0	4	1	0	5
112268260	56	37	48	25	93	66	52	20	15	43	44	37	55	22	17	28	76	36	59	29	34	89	34	38	56	55	71	32	16	25	74
729759	1	0	0	0	0	0	0	1	0	0	2	3	1	0	0	2	2	0	1	1	0	1	1	0	2	0	2	2	0	1	2
100132287	159	237	183	252	1099	775	316	129	556	310	354	281	355	286	86	231	369	716	307	178	174	653	920	547	563	646	603	242	230	319	1039
105378947	6	11	11	2	8	9	10	4	0	4	12	9	5	1	1	3	22	19	7	6	4	16	7	4	14	0	9	8	1	4	10
101928626	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
113219467	914	1022	1229	1352	2348	2376	922	1547	1442	983	956	788	853	967	2274	540	802	841	1269	1889	862	2212	1352	2062	1064	1363	7472	4786	2818	758	2379
81399	3	8	4	9	11	8	10	4	8	13	19	14	10	5	7	11	22	15	6	8	7	11	9	9	11	8	4	16	3	11	12
100133331	189	237	190	342	1278	682	315	167	619	371	393	332	386	358	115	218	374	705	317	211	194	761	930	589	504	724	682	246	242	352	1057
107984841	44	63	43	105	237	90	91	38	184	93	256	99	202	104	18	63	258	157	159	42	58	143	140	211	61	73	29	92	20	136	139
107984847	59	73	40	126	291	184	80	40	285	112	370	107	283	126	35	61	371	186	250	48	93	209	139	347	98	108	41	93	41	197	128
107984849	14	25	16	20	53	58	33	10	105	38	87	36	77	18	8	17	77	65	63	15	30	82	61	62	31	21	10	18	9	54	50
100288069	70	96	67	95	133	68	123	63	345	144	287	119	240	108	43	92	282	178	213	87	93	111	66	121	65	41	28	105	29	202	95
105378580	59	56	48	77	68	41	64	57	138	102	193	69	133	74	17	89	173	80	94	56	59	74	61	122	73	65	57	55	31	102	98
400728	26	26	34	23	17	10	19	24	26	22	43	22	42	17	5	22	46	20	39	25	30	12	18	17	16	11	8	21	12	25	12
79854	44	57	59	36	76	48	65	58	142	52	110	47	87	37	18	52	118	49	110	43	51	67	64	146	58	87	74	66	43	52	97
643837	366	448	554	599	599	435	545	479	709	458	966	410	748	543	1623	504	1082	557	733	476	536	595	613	735	706	479	522	915	521	865	710
107984850	0	0	0	0	1	0	1	0	0	0	1	2	2	0	27	1	2	1	0	3	4	1	0	0	0	0	0	0	0	2	2
284593	1	1	3	0	0	1	1	0	2	1	18	1	12	1	4	1	32	3	7	1	0	1	3	5	3	1	2	1	0	7	1
284600	6	9	1	4	14	37	20	7	284	5	338	6	167	1	0	15	283	14	141	7	5	18	34	374	33	19	20	6	9	148	20
100130417	80	97	48	33	375	184	239	66	39	30	53	109	101	23	7	124	133	176	144	65	92	275	221	173	294	321	386	46	65	57	236
107985728	93	97	60	46	175	100	224	81	41	35	66	111	155	18	19	165	188	169	196	139	85	205	71	114	183	110	39	46	39	78	71
148398	447	432	260	348	1258	535	735	428	210	247	207	291	479	261	157	387	646	477	794	670	327	518	545	466	1041	888	1969	471	431	237	801
26155	2362	1810	1858	2164	3296	2201	2646	2291	1942	2011	2010	1706	1848	2144	1605	1703	2604	2415	2427	2449	1636	2194	2459	2089	2593	2719	2787	2292	1963	1869	3152
339451	388	329	134	178	683	677	400	314	626	264	244	320	230	124	112	523	343	535	338	210	300	434	623	518	364	670	596	762	208	186	525
84069	410	242	306	224	833	904	666	413	692	16	9	65	27	17	498	131	600	605	534	525	121	487	249	853	338	749	1208	12	196	49	887
84808	32	24	38	28	122	133	95	45	74	4	2	7	2	1	4830	15	69	69	53	58	17	80	41	113	50	143	256	3	39	5	147
57801	494	420	375	552	1138	888	506	446	784	301	287	262	284	316	114	169	538	406	1065	410	165	438	408	877	1426	1888	1643	609	221	152	617
9636	404	933	567	4128	728	678	589	1399	1065	406	337	778	334	593	241	774	465	618	501	668	1052	755	2295	2705	1840	972	1499	922	1701	449	985
375790	24641	14380	19292	23170	23861	14288	24492	20914	22251	13387	11729	11842	14609	12755	735	6633	22849	12905	21766	22458	8255	12384	9738	16533	19365	16110	18359	7540	11323	12587	17060
100288175	40	27	33	25	102	64	138	47	116	19	13	16	22	13	1	34	88	142	92	60	21	119	75	184	58	137	100	25	23	15	161
112267874	56	79	49	42	205	92	116	32	73	52	20	50	52	21	0	36	65	81	134	45	32	108	74	82	95	106	96	26	23	27	133
105378948	131	166	106	91	437	201	250	111	223	152	46	128	128	34	1	163	176	258	374	184	92	248	218	243	143	429	218	74	64	91	364
401934	9	5	3	3	9	6	7	3	1	2	0	0	0	0	0	0	2	4	8	4	3	21	5	9	1	1	9	0	1	0	9
54991	261	303	184	260	753	593	393	314	535	385	339	329	377	274	87	349	364	500	399	211	248	607	778	596	505	715	576	371	286	249	865
254099	0	0	1	0	1	0	2	0	1	0	0	0	0	0	0	4	0	3	0	0	6	1	7	0	3	6	0	1	0	1	3
406984	25	10	11	4	71	20	19	5	24	17	25	19	27	5	0	22	56	31	23	4	13	32	17	17	19	39	0	0	1	9	166
406983	15	16	2	3	72	40	23	14	13	16	18	10	13	4	0	20	93	33	53	8	16	39	19	29	6	33	0	0	2	18	242
554210	37	11	16	17	155	69	32	17	50	36	26	36	30	5	0	30	119	65	69	8	29	76	36	77	21	160	0	0	16	21	379
100506376	9	3	2	1	32	12	14	4	21	5	4	0	3	5	2	15	35	24	16	0	3	20	11	11	18	10	0	0	1	4	99
254173	43	12	16	11	143	71	49	11	79	14	8	10	6	11	6	39	111	92	63	16	16	60	25	43	65	98	2	2	8	13	408
8784	78	166	36	45	78	661	75	155	191	16	19	184	9	11	5	357	124	206	48	46	252	181	344	177	120	303	115	5	320	58	87
7293	44	271	126	78	217	410	102	182	277	71	50	334	30	45	27	552	117	201	90	166	300	136	370	194	315	810	192	75	403	158	119
51150	6052	5864	7357	7009	7271	5855	7031	6003	5200	6714	6166	5213	6327	6941	1678	5068	6419	5535	5696	5737	4624	5116	5612	5921	7524	6889	4647	5417	5727	5305	5285
126792	1114	775	1005	1038	1107	622	1000	1023	868	874	934	802	758	796	188	675	1089	735	1027	890	553	731	732	805	1211	1269	1124	1052	886	623	1087
