Category,Term,Count,%,PValue,Genes,Fold Enrichment,FDR
CC,extracellular exosome,79,21.58469945,3.02E-09,"CD86, FCGBP, BTG2, ITGAM, MTMR11, ARPC1B, SERPINE1, PEBP1, SLC2A3, PYGL, ENO1, SLC4A4, STK10, TUBB6, UBL3, PCLO, LGALS1, PLAU, CDH1, STMN1, TIMP1, CTSC, TGM2, ACTR2, HGD, ITGA4, CD300A, ATP1B1, MMP9, CKAP4, RAP2C, SLC7A5, NPC1, CAT, CDH13, CDH16, CRYAB, S100A9, GPRC5C, CD44, GPM6A, ASAH1, SHMT2, SLC1A1, LRP2, SLC1A5, IQGAP2, MLLT3, THBS1, CLN5, SELENBP1, HIRA, NT5E, C7, SPP1, MAN1C1, CKB, TSPAN1, S100A11, WASF3, S100A10, CTSA, SLC16A1, NEBL, FN1, GGH, PAICS, ASS1, EHD2, MARCKS, GNAL, MYO5C, CD9, MNDA, GPD1L, TGFBI, RAB17, SLC26A4, FOLR1",1.9895504,1.21E-06
CC,cytosol,149,40.71038251,2.08E-08,"EPHB6, TRIO, TPMT, WIPF1, IRS1, WWC1, NCF4, PEBP1, BUB1B, ENO1, SMC4, RGS5, STK10, LGALS1, TDO2, STMN1, CHEK1, KPNA4, NEK2, TGM2, MYLIP, HGD, ANK3, CDC25B, PCP4, CARHSP1, RRAGD, ELMO1, PRKCQ, TRIB1, OBSL1, S100A9, ASF1B, ZNF395, MAOA, SHC1, SHMT2, PDE1A, CRABP1, CDCA8, HMMR, IQGAP2, SAMSN1, RAP1GAP, NCAPH, CCNB2, EIF4EBP1, ECT2, KCNN4, PPARGC1A, AP1M2, LHPP, FANCI, BBS1, CBX7, STARD13, CD163, CHKA, UBE2C, UPF3A, ISG15, PAICS, NDC80, SRPK1, MLLT11, EHD2, TPX2, PPFIBP2, UBE2S, BCL2, PLCH1, BTG2, PPP1R13B, CITED2, ARPC1B, FHL1, KIF14, LMOD1, PYGL, KIF11, ARHGAP6, EPB41L4B, SULT1C2, KYNU, CASP4, ACP5, TK1, UPP1, ACTR2, KIF23, KCNAB1, FOS, CKAP4, DUSP7, CCNA2, ARL4C, RAP2C, SLC7A5, HCK, MMP14, PLCB4, TBC1D4, CAT, RGN, MCM5, LCP2, KIF2C, DTL, CRYAB, SHANK2, CD44, SEC23A, BCL2A1, ADH1B, PBXIP1, ADD3, TYMS, MLLT3, AIF1, AURKA, CLN5, SELENBP1, NT5E, ALOX5, CKB, IGF2BP2, YKT6, BUB1, PDLIM7, SH3BGR, NTRK2, RRM2, EYA2, TXNL1, KLHL3, ASS1, PML, CENPE, GALE, CENPF, IMPDH1, PRC1, ALOX5AP, TACC3, CENPN, MNDA, GPD1L, CDKN3, MAD2L1",1.493775134,4.18E-06
CC,membrane,108,29.50819672,3.80E-08,"NCF4, SPINT2, IL1RAP, ENO1, MKI67, SLC4A4, LOXL2, RGS5, CDH1, STMN1, MAGI1, CD300A, DIO1, DIO2, ATP1B1, PGF, TYROBP, C1ORF115, SOAT1, SLCO2A1, ELMO1, TCTA, STEAP1, CDS1, SLC1A1, FPR1, ITPR1, HMMR, SLC1A5, RAP1GAP, NCAPH, CCNB2, DPP6, SLAMF8, STXBP6, TSPAN1, CTSA, FANCI, CD163, LRRN3, PAICS, LRP1B, NDC80, BSPRY, EHD2, SLC6A8, UST, CALU, BCL2, PLCH1, HPSE, SLC26A4, FGFR2, RYR2, FEN1, KIF14, LMOD1, SLC2A3, KIF11, GLIPR1, PCLO, ACP5, CTSC, CEP55, SNTA1, ACTR2, ITGA4, PLAUR, FOS, EMP3, CKAP4, RAP2C, SLC7A5, VCAN, NPC1, CAT, MCM4, MCM5, PLEKHO1, KIF2C, SLC25A4, SLC20A1, RGS16, TTK, PBXIP1, LRP2, ADD3, CLN5, SELENBP1, NT5E, MAN1C1, ATP6V0E2, YKT6, BUB1, SLC16A1, KCNJ15, KCNJ16, SORBS2, VEGFA, CENPE, MARCKS, TMEM158, EVI2A, SCD, ALOX5AP, CD9, PLP2, FOLR1",1.656937008,5.09E-06
MF,protein binding,287,78.41530055,5.33E-08,"EPHB6, FAAH, TRIO, WIPF1, SERPINE1, ENO1, MKI67, SMC4, SLC4A4, LGALS1, TDO2, CHEK1, STMN1, KDR, SEPHS1, IL15RA, CXADR, DAPK2, CIRBP, ANK3, CARHSP1, SOAT1, MTHFD2, RRAGD, PRKCQ, TRIB1, OBSL1, ASF1B, CDS1, GPM6A, BEX1, MAOA, SHMT2, SDC2, CRABP1, FPR1, XPA, TWIST1, CDCA8, NCAPH, SLAMF8, SERPINH1, KCNN4, PPARGC1A, TSPAN1, S100A11, LHPP, S100A10, CCR1, BBS1, EGR1, STARD13, JUN, NEBL, FN1, MICAL2, UPF3A, PAICS, PBX1, SRPK1, MLLT11, EHD2, TPX2, PPFIBP2, TG, PKIA, CALU, SFXN3, ID3, EZH1, DZIP3, EZH2, RYR2, BTG2, FEN1, CITED2, ARPC1B, KIF14, PYGL, KIF11, SULT1C2, GLIPR1, UBL3, ACADL, PBK, TIMP1, TK1, CTSC, CEP55, ARG2, FCER1G, DUSP1, KIF23, FOS, EMP3, DUSP7, RAP2C, SLC7A5, HCK, MMP14, PLCB4, PAX8, IVD, KIT, CKS2, TFF3, KIF2C, PLEKHO1, CRYAB, CD44, TLR2, C1QB, C1QA, CCL13, OCA2, ASAH1, PRKX, AIF1, HIRA, NT5E, ALOX5, SPP1, CKB, LAIR1, MAP4K4, GINS2, SLC16A1, KLHL3, SORBS2, VEGFA, DCBLD2, CENPE, CENPF, TACC3, FOSB, TRIP13, PLP2, CDKN3, MAD2L1, CD86, FCGBP, TPMT, IRS1, WWC1, NCF4, F13A1, BUB1B, PEBP1, LOXL2, TM7SF2, STK10, RGS5, TUBB6, SALL2, PLAU, CDH1, NUSAP1, NEK2, KPNA4, TGM2, MAGI1, MYLIP, TLE2, HGD, IGFBP5, CD300A, CYBB, ATP1B1, PGF, CDC25B, PCP4, TYROBP, ADAM12, ELMO1, TCTA, NUPR1, S100A9, CSF1R, DNMT1, SHC1, SLC1A1, ITPR1, DPT, TNFRSF11B, HMMR, SLC1A5, LTBP1, RAP1GAP, CCNB2, EIF4EBP1, ECT2, AP1M2, FANCI, CBX7, CD163, UBE2C, LY86, GGH, ISG15, BMP7, LRP1B, NDC80, EFNA1, GNAL, COL5A1, UBE2S, BCL2, PLXNB1, HPSE, TGFBI, SLC26A4, FGFR2, ITGAM, FLT1, PPP1R13B, FHL1, SLC2A3, TCIRG1, FOXM1, DNALI1, LMNB2, HHEX, CASP4, POLI, SNTA1, ACTR2, ITGA4, PLAUR, MMP9, CKAP4, CCNA2, ARL4C, VCAN, DBF4, TBC1D4, NPC1, MMRN1, ELF4, EFHC1, MCM4, CDH13, MCM5, LCP2, MCM6, CDH16, SLC25A4, DTL, SHANK2, SEC23A, BCL2A1, RGS16, TTK, PBXIP1, LRP2, MLLT3, SAMHD1, THBS1, TOB1, AURKA, CLN5, SELENBP1, ABLIM1, MAN1C1, IGF2BP2, BUB1, PDLIM7, ATP9A, NTRK2, RRM2, TMEM30B, EYA2, KCNJ15, NAP1L2, PML, TBX3, ASS1, EVI2A, FCGR2A, SCD, PRC1, POLE2, ALOX5AP, APOC1, CD9, MNDA, RAB17, FOLR1",1.19135875,3.66E-05
MF,identical protein binding,64,17.4863388,3.80E-07,"RYR2, FAAH, ABAT, PYGL, SLC4A4, LMNB2, STK10, ACADL, TDO2, CDH1, KDR, TK1, UPP1, SEPHS1, CTSC, CEP55, FCER1G, CXADR, HGD, DAPK2, FOS, MMP9, PGF, TYROBP, ALDH5A1, SOAT1, IVD, CAT, TFF3, CDH13, MCM6, CRYAB, TLR2, C1QB, SDC2, SLC1A1, TTK, SAMHD1, THBS1, NT5E, SLAMF8, JUN, SLC16A1, CHKA, FN1, SORBS2, PAICS, NDC80, ASS1, PML, VEGFA, EHD2, GALE, MARCKS, PPFIBP2, TG, IMPDH1, PRC1, ALOX5AP, BCL2, TGFBI, TRIP13, FGFR2, MAD2L1",1.936964653,1.31E-04
CC,extracellular region,70,19.12568306,1.77E-06,"EPHB6, COL14A1, SERPINE1, F13A1, ADM, SPINT2, PYGL, IL1RAP, TREM1, CTSS, LGALS1, PLAU, CDH1, CASP4, KDR, TIMP1, CTSC, ACTR2, CXADR, IGFBP5, EDN3, RNASE6, PLAUR, MMP9, PDGFRL, PGF, VCAN, NPC1, MMRN1, CAT, ADAM12, TFF3, CDH13, PLA2R1, S100A9, C1QB, C1QA, CCL13, ASAH1, TNFRSF11B, THBS1, LTBP1, C7, ALOX5, SPP1, SLIT3, PLTP, S100A11, S100A10, CTSA, CD163, FN1, GGH, ISG15, BMP7, VEGFA, EFNA1, TG, COL5A1, IMPDH1, COL5A3, APOC1, CALU, CD9, MNDA, PLXNB1, TGFBI, HPSE, FMOD, FGFR2",1.78844193,1.78E-04
CC,cytoplasm,143,39.07103825,3.29E-06,"TRIO, TPMT, IRS1, WWC1, NCF4, BUB1B, SPINT2, ENO1, RGS5, STK10, TUBB6, LGALS1, CDH1, STMN1, CHEK1, NUSAP1, KPNA4, NEK2, SEPHS1, MAGI1, CXADR, DAPK2, CIRBP, CDC25B, PCP4, CARHSP1, RRAGD, ELMO1, NUPR1, TRIB1, OBSL1, S100A9, ZNF395, BEX1, SHC1, SHMT2, CRABP1, FPR1, HMMR, IQGAP2, SAMSN1, RAP1GAP, NCAPH, CCNB2, EIF4EBP1, STXBP6, ECT2, TSPAN1, PPARGC1A, S100A11, S100A10, FANCI, CCR1, EGR1, CHKA, NEBL, MICAL2, UPF3A, ISG15, PAICS, NDC80, PBX1, BSPRY, SRPK1, EHD2, TPX2, PKIA, RCAN2, MYO5C, BCL2, ID3, PLCH1, DZIP3, FGFR2, EZH2, BTG2, PPP1R13B, CITED2, MTMR11, ARPC1B, FHL1, KIF14, ADM, PYGL, KIF11, ARHGAP6, DNALI1, EPB41L4B, SULT1C2, HHEX, ACADL, KYNU, CASP4, TK1, UPP1, CEP55, RALGPS1, SNTA1, ACTR2, ARG2, DUSP1, KIF23, KCNAB1, DUSP7, CCNA2, ARL4C, RAP2C, HCK, MMP14, CAT, RGN, CDH13, PLEKHO1, KIF2C, CRYAB, TLR2, OCA2, BCL2A1, RGS16, TTK, PRKX, TYMS, TOB1, AIF1, ABLIM1, ALOX5, IGF2BP2, YKT6, SH3BGR, WASF3, MAP4K4, TXNL1, SORBS2, ASS1, PML, VEGFA, CENPF, MARCKS, IMPDH1, PRC1, TACC3, CDKN3, MAD2L1",1.397850852,2.64E-04
CC,extracellular matrix,18,4.918032787,4.03E-06,"FCGBP, LRRN3, COL14A1, FN1, TNFRSF11B, THBS1, LTBP1, MMP9, VEGFA, MMP14, VCAN, COL5A1, COL5A3, TIMP1, TGFBI, HPSE, FMOD, TGM2",3.920564593,2.70E-04
CC,plasma membrane,136,37.15846995,5.10E-06,"EPHB6, CD86, IRS1, NCF4, SERPINE1, SPINT2, IL1RAP, ENO1, SLC4A4, TM7SF2, RGS5, STK10, PLAU, CDH1, KDR, C3AR1, SEPHS1, TGM2, MAGI1, IL15RA, MYLIP, CXADR, CD300A, DIO1, DIO2, CYBB, ANK3, ATP1B1, CLEC4A, TYROBP, ADAM12, SLCO2A1, ELMO1, PRKCQ, PLA2R1, STEAP1, S100A9, GPM6A, CSF1R, SHC1, SDC2, SLC1A1, FPR1, ITPR1, TNFRSF11B, HMMR, SLC1A5, IQGAP2, DPP6, C7, STXBP6, KCNN4, TSPAN1, S100A10, CCR1, CD163, JUN, UBE2C, FN1, LRP1B, SRPK1, EFNA1, EHD2, SLC6A8, GNAL, PLCH1, PLXNB1, TGFBI, SLC26A4, FGFR2, RYR2, FLT1, PPP1R13B, ITGAM, FHL1, KIF14, SLC2A3, TCIRG1, TREM1, EPB41L4B, GLIPR1, UBL3, SGCD, CASP4, CEP55, RALGPS1, FCER1G, ITGA4, PLAUR, KCNAB1, EMP3, GFRA2, CKAP4, ARL4C, RAP2C, SLC7A5, HCK, MMP14, NPC1, CAT, KIT, CDH13, CDH16, SLC25A4, GPRC5C, SHANK2, CD44, TLR2, ADH1B, SLC20A1, RGS16, LRP2, SAMHD1, ADD3, NT5E, GNA15, CKB, YKT6, LAIR1, ATP9A, NTRK2, SLC16A1, TMEM30B, KCNJ15, KCNJ16, SORBS2, DCBLD2, MARCKS, FCGR2A, STK17A, PRC1, CD9, RAB17, GPD1L, PLP2, FOLR1",1.406436167,2.93E-04
CC,cell surface,30,8.196721311,6.59E-06,"EPHB6, CD86, CSF1R, ITGAM, SDC2, SLC1A1, HMMR, ENO1, IQGAP2, TREM1, THBS1, SLC4A4, NT5E, PLAU, SLAMF8, S100A10, IL15RA, FCER1G, ITGA4, PLAUR, ANK3, DCBLD2, VEGFA, TYROBP, PLA2R1, CRYAB, FOLR1, CD44, FGFR2, TLR2",2.575916361,3.31E-04
