Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	79	21.584699453551913	3.0158331222764E-9	CD86, FCGBP, BTG2, ITGAM, MTMR11, ARPC1B, SERPINE1, PEBP1, SLC2A3, PYGL, ENO1, SLC4A4, STK10, TUBB6, UBL3, PCLO, LGALS1, PLAU, CDH1, STMN1, TIMP1, CTSC, TGM2, ACTR2, HGD, ITGA4, CD300A, ATP1B1, MMP9, CKAP4, RAP2C, SLC7A5, NPC1, CAT, CDH13, CDH16, CRYAB, S100A9, GPRC5C, CD44, GPM6A, ASAH1, SHMT2, SLC1A1, LRP2, SLC1A5, IQGAP2, MLLT3, THBS1, CLN5, SELENBP1, HIRA, NT5E, C7, SPP1, MAN1C1, CKB, TSPAN1, S100A11, WASF3, S100A10, CTSA, SLC16A1, NEBL, FN1, GGH, PAICS, ASS1, EHD2, MARCKS, GNAL, MYO5C, CD9, MNDA, GPD1L, TGFBI, RAB17, SLC26A4, FOLR1	366	2240	20647	1.989550400078064	1.3239498735106991E-6	1.3239507406793397E-6	1.2123649151551128E-6
GOTERM_CC_DIRECT	GO:0005829~cytosol	149	40.7103825136612	2.0797257892185316E-8	EPHB6, TRIO, TPMT, WIPF1, IRS1, WWC1, NCF4, PEBP1, BUB1B, ENO1, SMC4, RGS5, STK10, LGALS1, TDO2, STMN1, CHEK1, KPNA4, NEK2, TGM2, MYLIP, HGD, ANK3, CDC25B, PCP4, CARHSP1, RRAGD, ELMO1, PRKCQ, TRIB1, OBSL1, S100A9, ASF1B, ZNF395, MAOA, SHC1, SHMT2, PDE1A, CRABP1, CDCA8, HMMR, IQGAP2, SAMSN1, RAP1GAP, NCAPH, CCNB2, EIF4EBP1, ECT2, KCNN4, PPARGC1A, AP1M2, LHPP, FANCI, BBS1, CBX7, STARD13, CD163, CHKA, UBE2C, UPF3A, ISG15, PAICS, NDC80, SRPK1, MLLT11, EHD2, TPX2, PPFIBP2, UBE2S, BCL2, PLCH1, BTG2, PPP1R13B, CITED2, ARPC1B, FHL1, KIF14, LMOD1, PYGL, KIF11, ARHGAP6, EPB41L4B, SULT1C2, KYNU, CASP4, ACP5, TK1, UPP1, ACTR2, KIF23, KCNAB1, FOS, CKAP4, DUSP7, CCNA2, ARL4C, RAP2C, SLC7A5, HCK, MMP14, PLCB4, TBC1D4, CAT, RGN, MCM5, LCP2, KIF2C, DTL, CRYAB, SHANK2, CD44, SEC23A, BCL2A1, ADH1B, PBXIP1, ADD3, TYMS, MLLT3, AIF1, AURKA, CLN5, SELENBP1, NT5E, ALOX5, CKB, IGF2BP2, YKT6, BUB1, PDLIM7, SH3BGR, NTRK2, RRM2, EYA2, TXNL1, KLHL3, ASS1, PML, CENPE, GALE, CENPF, IMPDH1, PRC1, ALOX5AP, TACC3, CENPN, MNDA, GPD1L, CDKN3, MAD2L1	366	5627	20647	1.4937751337472238	9.129954641640126E-6	4.564998107334677E-6	4.180248836329248E-6
GOTERM_CC_DIRECT	GO:0016020~membrane	108	29.508196721311474	3.7996267760485246E-8	NCF4, SPINT2, IL1RAP, ENO1, MKI67, SLC4A4, LOXL2, RGS5, CDH1, STMN1, MAGI1, CD300A, DIO1, DIO2, ATP1B1, PGF, TYROBP, C1ORF115, SOAT1, SLCO2A1, ELMO1, TCTA, STEAP1, CDS1, SLC1A1, FPR1, ITPR1, HMMR, SLC1A5, RAP1GAP, NCAPH, CCNB2, DPP6, SLAMF8, STXBP6, TSPAN1, CTSA, FANCI, CD163, LRRN3, PAICS, LRP1B, NDC80, BSPRY, EHD2, SLC6A8, UST, CALU, BCL2, PLCH1, HPSE, SLC26A4, FGFR2, RYR2, FEN1, KIF14, LMOD1, SLC2A3, KIF11, GLIPR1, PCLO, ACP5, CTSC, CEP55, SNTA1, ACTR2, ITGA4, PLAUR, FOS, EMP3, CKAP4, RAP2C, SLC7A5, VCAN, NPC1, CAT, MCM4, MCM5, PLEKHO1, KIF2C, SLC25A4, SLC20A1, RGS16, TTK, PBXIP1, LRP2, ADD3, CLN5, SELENBP1, NT5E, MAN1C1, ATP6V0E2, YKT6, BUB1, SLC16A1, KCNJ15, KCNJ16, SORBS2, VEGFA, CENPE, MARCKS, TMEM158, EVI2A, SCD, ALOX5AP, CD9, PLP2, FOLR1	366	3677	20647	1.6569370076282786	1.6680222764131614E-5	5.5601205156176745E-6	5.091499879905023E-6
GOTERM_MF_DIRECT	GO:0005515~protein binding	287	78.41530054644808	5.33343156610657E-8	EPHB6, FAAH, TRIO, WIPF1, SERPINE1, ENO1, MKI67, SMC4, SLC4A4, LGALS1, TDO2, CHEK1, STMN1, KDR, SEPHS1, IL15RA, CXADR, DAPK2, CIRBP, ANK3, CARHSP1, SOAT1, MTHFD2, RRAGD, PRKCQ, TRIB1, OBSL1, ASF1B, CDS1, GPM6A, BEX1, MAOA, SHMT2, SDC2, CRABP1, FPR1, XPA, TWIST1, CDCA8, NCAPH, SLAMF8, SERPINH1, KCNN4, PPARGC1A, TSPAN1, S100A11, LHPP, S100A10, CCR1, BBS1, EGR1, STARD13, JUN, NEBL, FN1, MICAL2, UPF3A, PAICS, PBX1, SRPK1, MLLT11, EHD2, TPX2, PPFIBP2, TG, PKIA, CALU, SFXN3, ID3, EZH1, DZIP3, EZH2, RYR2, BTG2, FEN1, CITED2, ARPC1B, KIF14, PYGL, KIF11, SULT1C2, GLIPR1, UBL3, ACADL, PBK, TIMP1, TK1, CTSC, CEP55, ARG2, FCER1G, DUSP1, KIF23, FOS, EMP3, DUSP7, RAP2C, SLC7A5, HCK, MMP14, PLCB4, PAX8, IVD, KIT, CKS2, TFF3, KIF2C, PLEKHO1, CRYAB, CD44, TLR2, C1QB, C1QA, CCL13, OCA2, ASAH1, PRKX, AIF1, HIRA, NT5E, ALOX5, SPP1, CKB, LAIR1, MAP4K4, GINS2, SLC16A1, KLHL3, SORBS2, VEGFA, DCBLD2, CENPE, CENPF, TACC3, FOSB, TRIP13, PLP2, CDKN3, MAD2L1, CD86, FCGBP, TPMT, IRS1, WWC1, NCF4, F13A1, BUB1B, PEBP1, LOXL2, TM7SF2, STK10, RGS5, TUBB6, SALL2, PLAU, CDH1, NUSAP1, NEK2, KPNA4, TGM2, MAGI1, MYLIP, TLE2, HGD, IGFBP5, CD300A, CYBB, ATP1B1, PGF, CDC25B, PCP4, TYROBP, ADAM12, ELMO1, TCTA, NUPR1, S100A9, CSF1R, DNMT1, SHC1, SLC1A1, ITPR1, DPT, TNFRSF11B, HMMR, SLC1A5, LTBP1, RAP1GAP, CCNB2, EIF4EBP1, ECT2, AP1M2, FANCI, CBX7, CD163, UBE2C, LY86, GGH, ISG15, BMP7, LRP1B, NDC80, EFNA1, GNAL, COL5A1, UBE2S, BCL2, PLXNB1, HPSE, TGFBI, SLC26A4, FGFR2, ITGAM, FLT1, PPP1R13B, FHL1, SLC2A3, TCIRG1, FOXM1, DNALI1, LMNB2, HHEX, CASP4, POLI, SNTA1, ACTR2, ITGA4, PLAUR, MMP9, CKAP4, CCNA2, ARL4C, VCAN, DBF4, TBC1D4, NPC1, MMRN1, ELF4, EFHC1, MCM4, CDH13, MCM5, LCP2, MCM6, CDH16, SLC25A4, DTL, SHANK2, SEC23A, BCL2A1, RGS16, TTK, PBXIP1, LRP2, MLLT3, SAMHD1, THBS1, TOB1, AURKA, CLN5, SELENBP1, ABLIM1, MAN1C1, IGF2BP2, BUB1, PDLIM7, ATP9A, NTRK2, RRM2, TMEM30B, EYA2, KCNJ15, NAP1L2, PML, TBX3, ASS1, EVI2A, FCGR2A, SCD, PRC1, POLE2, ALOX5AP, APOC1, CD9, MNDA, RAB17, FOLR1	361	12657	18967	1.1913587501644167	3.7119995704659736E-5	3.712068370010173E-5	3.664067485915214E-5
UP_KW_BIOLOGICAL_PROCESS	KW-0131~Cell cycle	37	10.10928961748634	1.3361318731119748E-7	CDCA8, BUB1B, KIF11, MKI67, FOXM1, SMC4, NCAPH, AURKA, STK10, CCNB2, CHEK1, NUSAP1, NEK2, ECT2, BUB1, CEP55, FANCI, DUSP1, UBE2C, KIF23, NDC80, CDC25B, CCNA2, CENPE, TPX2, CENPF, DBF4, UBE2S, PRC1, CKS2, TACC3, MCM4, MCM5, KIF2C, MCM6, CDKN3, MAD2L1	233	684	11371	2.6399053786110485	1.5499010650454892E-5	1.5499129728098908E-5	1.483106379154292E-5
GOTERM_BP_DIRECT	GO:0001666~response to hypoxia	17	4.644808743169399	1.5992001863400382E-7	EGR1, RYR2, CITED2, ITPR1, ADM, ABAT, ATP1B1, THBS1, PGF, PML, LOXL2, VEGFA, MMP14, PLAU, CAT, CRYAB, TLR2	357	176	19453	5.263257575757575	4.288135575478691E-4	4.1314477763507065E-4	4.0975581972754955E-4
GOTERM_BP_DIRECT	GO:0008284~positive regulation of cell proliferation	30	8.19672131147541	3.0808708250191695E-7	CD86, CSF1R, FLT1, SHC1, IRS1, KIF14, ADM, TTK, TCIRG1, FOXM1, AIF1, THBS1, KDR, TIMP1, NTRK2, EDN3, FN1, TBX3, PBX1, PGF, CDC25B, VEGFA, HCK, PRC1, KIT, BCL2, HPSE, FGFR2, SHANK2, EZH2	357	545	19453	2.999460334592553	8.25948399268861E-4	4.1314477763507065E-4	4.0975581972754955E-4
UP_KW_BIOLOGICAL_PROCESS	KW-0132~Cell division	27	7.377049180327869	3.4411594977477035E-7	CDCA8, BUB1B, KIF11, SMC4, NCAPH, AURKA, CCNB2, NUSAP1, NEK2, ECT2, BUB1, CEP55, UBE2C, KIF23, NDC80, CDC25B, CCNA2, CENPE, TPX2, CENPF, UBE2S, PRC1, CKS2, TACC3, MCM5, KIF2C, MAD2L1	233	415	11371	3.175107296137339	3.9916660346306365E-5	1.963917865216094E-5	1.8792662330947106E-5
GOTERM_MF_DIRECT	GO:0042802~identical protein binding	64	17.48633879781421	3.8042262509250617E-7	RYR2, FAAH, ABAT, PYGL, SLC4A4, LMNB2, STK10, ACADL, TDO2, CDH1, KDR, TK1, UPP1, SEPHS1, CTSC, CEP55, FCER1G, CXADR, HGD, DAPK2, FOS, MMP9, PGF, TYROBP, ALDH5A1, SOAT1, IVD, CAT, TFF3, CDH13, MCM6, CRYAB, TLR2, C1QB, SDC2, SLC1A1, TTK, SAMHD1, THBS1, NT5E, SLAMF8, JUN, SLC16A1, CHKA, FN1, SORBS2, PAICS, NDC80, ASS1, PML, VEGFA, EHD2, GALE, MARCKS, PPFIBP2, TG, IMPDH1, PRC1, ALOX5AP, BCL2, TGFBI, TRIP13, FGFR2, MAD2L1	361	1736	18967	1.9369646527183835	2.647391478161065E-4	1.3238707353219214E-4	1.3067517171927586E-4
UP_KW_BIOLOGICAL_PROCESS	KW-0498~Mitosis	22	6.0109289617486334	5.079097927283002E-7	UBE2C, CDCA8, BUB1B, KIF23, KIF11, SMC4, NDC80, NCAPH, CDC25B, AURKA, CCNA2, CENPE, CCNB2, TPX2, CENPF, NUSAP1, TACC3, NEK2, KIF2C, BUB1, CEP55, MAD2L1	233	291	11371	3.689541760689055	5.891581532002643E-5	1.963917865216094E-5	1.8792662330947106E-5
