Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005576~extracellular region	41	52.56410256410257	2.24583032763148E-19	CFD, CALCA, CFH, C1S, C1R, COL14A1, FGL2, LTBP4, HBB, FBLN1, CHRDL1, FBLN2, FBLN5, ESM1, ISLR, RELN, ERBB4, TIMP3, APOD, NRCAM, CCL19, IGFBP6, CHGA, CD52, CCL21, RARRES2, SERPINF1, OMD, IGF1, LYZ, DCN, PDGFRL, MFAP4, SFRP4, SERPING1, CDH13, ANGPTL4, PLA2R1, NBL1, SCG2, S100A8	78	2208	20647	4.915267326272761	3.705620040591942E-17	3.705620040591942E-17	3.5933285242103685E-17
GOTERM_CC_DIRECT	GO:0005615~extracellular space	35	44.871794871794876	2.7950408530041113E-15	CFD, CALCA, CFH, C1S, C1R, COL14A1, FGL2, LTBP4, DPT, HBB, FBLN1, ENO3, FBLN5, RELN, TIMP3, APOD, CCL19, IGFBP6, PROM1, CHGA, CCL21, RARRES2, SERPINF1, OMD, IGF1, LYZ, DCN, MFAP4, SFRP4, SERPING1, CDH13, ANGPTL4, NBL1, SCG2, S100A8	78	1990	20647	4.655617832753511	4.579669976578771E-13	2.305908703728392E-13	2.236032682403289E-13
UP_KW_CELLULAR_COMPONENT	KW-0964~Secreted	38	48.717948717948715	3.092834799328896E-15	CFD, CALCA, CFH, C1R, COL14A1, FGL2, LTBP4, DPT, FBLN1, CHRDL1, FBLN2, FBLN5, ESM1, ISLR, RELN, TIMP3, APOD, NRCAM, CCL19, IGFBP6, CHGA, CCL21, RARRES2, SERPINF1, OMD, IGF1, LYZ, DCN, PDGFRL, MFAP4, SFRP4, MGP, SERPING1, ANGPTL4, PLA2R1, NBL1, SCG2, S100A8	76	2164	17836	4.121072088724584	6.52811138479592E-14	6.494953078590682E-14	6.494953078590682E-14
UP_KW_DOMAIN	KW-0732~Signal	51	65.38461538461539	5.599835029949424E-13	SRPX, COL14A1, HBB, CHRDL1, ESM1, ISLR, TIMP3, NRCAM, CD52, PDGFRA, SERPINF1, OMD, PDGFRL, DCN, SFRP4, GAS1, SERPING1, CDH13, ANGPTL4, PLA2R1, SCG2, NBL1, CFD, CALCA, CFH, C1S, C1R, FGL2, LTBP4, DPT, LRP4, FBLN1, FBLN2, FBLN5, RELN, ERBB4, APOD, IGFBP6, CCL19, PROM1, CHGA, NTRK2, CCL21, PCDH9, RARRES2, IGF1, LYZ, IGK, LYVE1, MFAP4, MGP	70	4410	14576	2.4080855199222544	7.279954417072076E-12	7.279785538934251E-12	6.7198020359393086E-12
UP_KW_CELLULAR_COMPONENT	KW-0272~Extracellular matrix	12	15.384615384615385	2.192278959311096E-8	MFAP4, RELN, COL14A1, OMD, LTBP4, TIMP3, DPT, FBLN1, ANGPTL4, FBLN2, DCN, FBLN5	76	278	17836	10.130253691783414	4.6037848033808615E-7	2.3018929072766508E-7	2.3018929072766508E-7
GOTERM_MF_DIRECT	GO:0005201~extracellular matrix structural constituent	9	11.538461538461538	5.47847821477377E-8	SRPX, MFAP4, COL14A1, MGP, FGL2, LTBP4, DPT, FBLN1, FBLN2	73	139	18967	16.823001872474624	1.0902112519084461E-5	1.0902171647399802E-5	1.0683032518808851E-5
UP_KW_PTM	KW-1015~Disulfide bond	44	56.41025641025641	1.0028343955875333E-7	CFD, GPM6A, SRPX, CALCA, CFH, C1S, C1R, COL14A1, FGL2, LTBP4, LRP4, DPT, FBLN1, FBLN2, FBLN5, ESM1, ISLR, RELN, ERBB4, TRBC1, TIMP3, APOD, NRCAM, CCL19, IGFBP6, CHGA, PDGFRA, NTRK2, CCL21, RARRES2, OMD, IGF1, LYZ, IGK, LYVE1, DCN, PDGFRL, SFRP4, MGP, SERPING1, ANGPTL4, PLA2R1, NBL1, ITM2A	78	3859	14204	2.076318429777875	2.105950118735933E-6	2.2062356702925734E-6	2.10595223073382E-6
UP_SEQ_FEATURE	CARBOHYD:N-linked (GlcNAc...) asparagine	38	48.717948717948715	2.1020391470405275E-7	GPM6A, CFH, C1S, C1R, COL14A1, FGL2, LTBP4, LRP4, FBLN1, CHRDL1, FBLN2, FBLN5, ISLR, RELN, ERBB4, TRBC1, NRCAM, PROM1, SLC12A8, ABCC3, CSGALNACT1, CD52, PDGFRA, NTRK2, PCDH9, OMD, ABCA8, LYVE1, DCN, PDGFRL, MFAP4, SFRP4, SERPING1, CDH13, GAS1, ANGPTL4, PLA2R1, ITM2A	78	4419	20558	2.2664484945544006	1.1098151973210069E-4	1.1098766696373985E-4	1.0762440432847501E-4
GOTERM_CC_DIRECT	GO:0031012~extracellular matrix	10	12.82051282051282	5.133974328010145E-7	RELN, COL14A1, RARRES2, MGP, OMD, LTBP4, TIMP3, FBLN1, FBLN2, FBLN5	78	259	20647	10.22027522027522	8.470701031382255E-5	2.82368588040558E-5	2.738119641605411E-5
GOTERM_CC_DIRECT	GO:0072562~blood microparticle	8	10.256410256410255	1.3331957657596113E-6	CFH, C1S, C1R, HBB, SERPING1, HBD, ANGPTL4	78	148	20647	14.308385308385308	2.1995325472623506E-4	5.499432533758397E-5	5.3327830630384454E-5
