Category,Term,Count,%,PValue,Genes,Fold Enrichment,FDR
BP,melanocyte differentiation,5,7.142857143,1.22E-06,"OCA2, CITED1, EDN3, BCL2, RAB27A",60.41304348,0.001140478
CC,plasma membrane,36,51.42857143,1.40E-05,"GPM6A, RYR2, IRS1, TUSC3, ADH1B, RGS16, FHL1, ITPR1, LRP4, TGFA, NOD1, IL1RAP, SLC4A4, GHR, DPP4, EPS8, DPP6, RELN, MYO6, SLITRK5, PLXNC1, MPZL2, ABCC3, GABBR2, ENTPD1, FN1, SORBS2, LYVE1, TIAM1, SPINT1, ELMO1, PLCH1, PLA2R1, CDH16, MET, FGFR2",1.94655493,0.002293388
CC,membrane,26,37.14285714,2.07E-04,"PCSK2, RYR2, RGS16, LMOD1, ITPR1, IL1RAP, SLC4A4, RAP1GAP, GHR, DPP4, DPP6, CCND1, MYO6, PLXNC1, ABCC3, ENTPD1, RAB27A, SORBS2, LYVE1, TIAM1, SPINT1, BCL2, ELMO1, PLCH1, MET, FGFR2",2.085636583,0.016966638
CC,extracellular region,17,24.28571429,0.002139437,"EDN3, FN1, RAB27A, TGFA, IL1RAP, GHR, DPP4, RELN, MMRN1, SPINT1, QPCT, AGR2, TFF3, PLA2R1, MET, S100A11, FGFR2",2.270956263,0.096198532
CC,extracellular exosome,17,24.28571429,0.002479442,"GPM6A, ENTPD1, FN1, RAB27A, LYVE1, SLC4A4, DPP4, EPS8, SCEL, FABP4, SPINT1, QPCT, MYO6, AOX1, TNIK, CDH16, S100A11",2.238514031,0.096198532
CC,integral component of plasma membrane,13,18.57142857,0.002932882,"ABCC3, GABBR2, ENTPD1, TUSC3, IL1RAP, LYVE1, SLC4A4, GHR, PLXNC1, PLA2R1, CDH16, MET, FGFR2",2.638983384,0.096198532
CC,dendrite,7,10,0.004343609,"PCSK2, RELN, CAMK2N1, RAB27A, LRP4, SORBS2, RAP1GAP",4.488478261,0.110388183
CC,ruffle membrane,4,5.714285714,0.004711691,"EPS8, TIAM1, PSD3, MYO6",11.681471,0.110388183
CC,cell surface,8,11.42857143,0.00626148,"GHR, DPP4, LRP4, TGFA, PLA2R1, MET, SLC4A4, FGFR2",3.591563383,0.124439144
CC,receptor complex,5,7.142857143,0.006828977,"GHR, SLITRK5, PLA2R1, MET, FGFR2",6.554603175,0.124439144
CC,neuronal cell body,6,8.571428571,0.009017601,"GHR, TIAM1, GPM6A, LRP4, SORBS2, RAP1GAP",4.632834705,0.14788865
CC,basolateral plasma membrane,5,7.142857143,0.011351842,"ABCC3, TGFA, NOD1, CDH16, SLC4A4",5.650519978,0.158533921
CC,apical plasma membrane,6,8.571428571,0.0117513,"DPP4, FN1, RAB27A, SORBS2, NOD1, TNIK",4.337605042,0.158533921
CC,postsynaptic density,5,7.142857143,0.012566713,"EPS8, CAMK2N1, PSD3, ITPR1, LRP4",5.482474774,0.158533921
