Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0030318~melanocyte differentiation	5	7.142857142857142	1.2197623655480431E-6	OCA2, CITED1, EDN3, BCL2, RAB27A	70	23	19453	60.413043478260875	0.001139828408903365	0.0011404778117874203	0.0011404778117874203
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	36	51.42857142857142	1.3984072694333897E-5	GPM6A, RYR2, IRS1, TUSC3, ADH1B, RGS16, FHL1, ITPR1, LRP4, TGFA, NOD1, IL1RAP, SLC4A4, GHR, DPP4, EPS8, DPP6, RELN, MYO6, SLITRK5, PLXNC1, MPZL2, ABCC3, GABBR2, ENTPD1, FN1, SORBS2, LYVE1, TIAM1, SPINT1, ELMO1, PLCH1, PLA2R1, CDH16, MET, FGFR2	70	5455	20647	1.9465549299463138	0.0024023869595999336	0.0024052605034254305	0.002293387921870759
KEGG_PATHWAY	hsa05215:Prostate cancer	6	8.571428571428571	9.82313392829343E-5	CCND1, SPINT1, BCL2, TGFA, ETV5, FGFR2	43	97	8644	12.434428194677535	0.018106007002634095	0.01827102910662578	0.017779872410211107
GOTERM_CC_DIRECT	GO:0016020~membrane	26	37.142857142857146	2.0691021610206822E-4	PCSK2, RYR2, RGS16, LMOD1, ITPR1, IL1RAP, SLC4A4, RAP1GAP, GHR, DPP4, DPP6, CCND1, MYO6, PLXNC1, ABCC3, ENTPD1, RAB27A, SORBS2, LYVE1, TIAM1, SPINT1, BCL2, ELMO1, PLCH1, MET, FGFR2	70	3677	20647	2.085636582617817	0.03496628409856861	0.017794278584777865	0.016966637720369594
KEGG_PATHWAY	hsa04151:PI3K-Akt signaling pathway	9	12.857142857142856	2.796598201081717E-4	GHR, RELN, CCND1, IRS1, BCL2, FN1, TGFA, MET, FGFR2	43	359	8644	5.039580229319168	0.050693918096672674	0.02600836327005997	0.02530921371978954
INTERPRO	IPR011993:Pleckstrin homology-like domain	8	11.428571428571429	0.0011041787089982637	EPS8, TIAM1, PID1, TBC1D4, IRS1, PSD3, ELMO1, PLCH1	69	452	19113	4.902654867256637	0.22951119061902847	0.26058617532359024	0.26058617532359024
GOTERM_MF_DIRECT	GO:0042802~identical protein binding	16	22.857142857142858	0.0012264908121225194	RYR2, NAB2, FN1, SORBS2, NOD1, SLC4A4, GHR, DPP4, MAFB, MYO6, BCL2, AGR2, TFF3, AOX1, MET, FGFR2	70	1736	18967	2.4973008558262015	0.250539929997166	0.17779882853516046	0.17779882853516046
GOTERM_MF_DIRECT	GO:0042803~protein homodimerization activity	10	14.285714285714285	0.001513181519448174	GHR, DPP4, CITED1, BCL2, LRP4, AOX1, NOD1, RAP1GAP, FGFR2, S100A11	70	749	18967	3.6175853518977683	0.29943419017452666	0.17779882853516046	0.17779882853516046
UP_SEQ_FEATURE	CARBOHYD:N-linked (GlcNAc...) asparagine	27	38.57142857142858	0.001571911521208511	PCSK2, GPM6A, OCA2, ITPR1, LRP4, TGFA, IL1RAP, GHR, DPP4, DPP6, RELN, SLITRK5, PLXNC1, MPZL2, ABCC3, GABBR2, ENTPD1, FN1, LYVE1, MMRN1, SPINT1, QPCT, PLA2R1, CDH16, MET, FGFR2, CHST2	70	4419	20558	1.7944137329066046	0.656362403528094	0.7871191490892127	0.7871191490892127
GOTERM_BP_DIRECT	GO:0007275~multicellular organism development	5	7.142857142857142	0.00171476699621379	EDN3, CRABP1, MET, FGFR2, CHST2	70	144	19453	9.649305555555555	0.799046826160752	0.5009439074346812	0.5009439074346812
GOTERM_CC_DIRECT	GO:0005576~extracellular region	17	24.285714285714285	0.00213943687522334	EDN3, FN1, RAB27A, TGFA, IL1RAP, GHR, DPP4, RELN, MMRN1, SPINT1, QPCT, AGR2, TFF3, PLA2R1, MET, S100A11, FGFR2	70	2208	20647	2.2709562629399587	0.30814393477998814	0.10089114379054936	0.09619853245145403
GOTERM_BP_DIRECT	GO:0007015~actin filament organization	5	7.142857142857142	0.002242520150180115	MYO6, BCL2, ELMO1, LMOD1, SORBS2	70	155	19453	8.964516129032258	0.8774346436815984	0.5009439074346812	0.5009439074346812
GOTERM_BP_DIRECT	GO:0010628~positive regulation of gene expression	8	11.428571428571429	0.002390587579438891	PID1, CITED1, CITED2, AGR2, FN1, RAB27A, HMGA2, PPARGC1A	70	519	19453	4.283622350674373	0.8933150704901515	0.5009439074346812	0.5009439074346812
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	17	24.285714285714285	0.0024794422312394613	GPM6A, ENTPD1, FN1, RAB27A, LYVE1, SLC4A4, DPP4, EPS8, SCEL, FABP4, SPINT1, QPCT, MYO6, AOX1, TNIK, CDH16, S100A11	70	2240	20647	2.238514030612245	0.34753229536430963	0.10089114379054936	0.09619853245145403
GOTERM_CC_DIRECT	GO:0005887~integral component of plasma membrane	13	18.571428571428573	0.0029328820869345745	ABCC3, GABBR2, ENTPD1, TUSC3, IL1RAP, LYVE1, SLC4A4, GHR, PLXNC1, PLA2R1, CDH16, MET, FGFR2	70	1453	20647	2.6389833841313544	0.3966132570737997	0.10089114379054936	0.09619853245145403
UP_SEQ_FEATURE	TOPO_DOM:Cytoplasmic	24	34.285714285714285	0.003023011929011206	ABCC3, GABBR2, GPM6A, OCA2, RYR2, ENTPD1, TUSC3, ITPR1, LRP4, TGFA, IL1RAP, LYVE1, SLC4A4, GHR, DPP4, DPP6, SLITRK5, PLXNC1, PLA2R1, CDH16, MET, FGFR2, CHST2, MPZL2	70	3879	20558	1.8170809855264611	0.8720011400570751	0.7871191490892127	0.7871191490892127
GOTERM_BP_DIRECT	GO:0008284~positive regulation of cell proliferation	8	11.428571428571429	0.003137092454685539	DPP4, TIAM1, EDN3, IRS1, BCL2, FN1, TGFA, FGFR2	70	545	19453	4.0792660550458715	0.9470174105674569	0.5009439074346812	0.5009439074346812
UP_SEQ_FEATURE	TOPO_DOM:Extracellular	20	28.57142857142857	0.00347769874413496	ABCC3, GABBR2, GPM6A, OCA2, ENTPD1, LRP4, TGFA, IL1RAP, LYVE1, SLC4A4, GHR, DPP4, DPP6, SLITRK5, PLXNC1, PLA2R1, CDH16, MET, FGFR2, MPZL2	70	2976	20558	1.9736943164362517	0.9060951305989419	0.7871191490892127	0.7871191490892127
GOTERM_BP_DIRECT	GO:0007155~cell adhesion	8	11.428571428571429	0.0038611792153123545	DPP4, ENTPD1, RELN, MMRN1, FN1, PLXNC1, CDH16, LYVE1	70	566	19453	3.9279151943462898	0.973141968530859	0.5009439074346812	0.5009439074346812
GOTERM_BP_DIRECT	GO:0016601~Rac protein signal transduction	3	4.285714285714286	0.004109871467431318	EPS8, TIAM1, ELMO1	70	27	19453	30.877777777777776	0.9787340502289044	0.5009439074346812	0.5009439074346812
GOTERM_CC_DIRECT	GO:0030425~dendrite	7	10.0	0.004343608760227592	PCSK2, RELN, CAMK2N1, RAB27A, LRP4, SORBS2, RAP1GAP	70	460	20647	4.488478260869566	0.5270322039206325	0.11577297228167253	0.11038818287322263
GOTERM_BP_DIRECT	GO:0007596~blood coagulation	4	5.714285714285714	0.004412540881214738	ENTPD1, MMRN1, RAB27A, PAPSS2	70	93	19453	11.95268817204301	0.983995015215724	0.5009439074346812	0.5009439074346812
GOTERM_CC_DIRECT	GO:0032587~ruffle membrane	4	5.714285714285714	0.004711690732393649	EPS8, TIAM1, PSD3, MYO6	70	101	20647	11.681471004243281	0.5561754830787127	0.11577297228167253	0.11038818287322263
GOTERM_BP_DIRECT	GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation	4	5.714285714285714	0.004821919964611905	GHR, RELN, LRP4, TGFA	70	96	19453	11.579166666666667	0.9891044413643671	0.5009439074346812	0.5009439074346812
UP_KW_DISEASE	KW-0656~Proto-oncogene	7	10.0	0.005021668492376986	MAFB, CCND1, BCL2, AGR2, HMGA2, MET, FGFR2	34	235	4734	4.147434292866083	0.11825994267397577	0.12554171230942465	0.12554171230942465
KEGG_PATHWAY	hsa05223:Non-small cell lung cancer	4	5.714285714285714	0.0050409467272768006	CCND1, TGFA, RXRG, MET	43	72	8644	11.16795865633075	0.6093672035468344	0.24287171498331675	0.23634290544075448
GOTERM_BP_DIRECT	GO:0070372~regulation of ERK1 and ERK2 cascade	3	4.285714285714286	0.005395192403123253	TIAM1, FN1, FGFR2	70	31	19453	26.893548387096775	0.9936427671221137	0.5044504896920241	0.5044504896920241
KEGG_PATHWAY	hsa05226:Gastric cancer	5	7.142857142857142	0.005708066827703672	CCND1, BCL2, RXRG, MET, FGFR2	43	149	8644	6.745746839394412	0.6551832418428809	0.24287171498331675	0.23634290544075448
