ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
205350_at	0.000006	3.91e-10	-3.00e+01	12.47252	-1.56	CRABP1	cellular retinoic acid binding protein 1
210400_at	0.000006	5.38e-10	-2.89e+01	12.28677	-1.55	GRIN2C	glutamate ionotropic receptor NMDA type subunit 2C
204623_at	0.00000855	1.15e-09	-2.65e+01	11.8212	-2.04	TFF3	trefoil factor 3
205413_at	0.00001231	2.21e-09	-2.45e+01	11.39313	-1.41	MPPED2	metallophosphoesterase domain containing 2
203685_at	0.00001455	3.26e-09	-2.35e+01	11.12446	-1.10	BCL2	BCL2, apoptosis regulator
204932_at	0.00004393	1.18e-08	-2.02e+01	10.17647	-1.14	TNFRSF11B	TNF receptor superfamily member 11b
213447_at	0.0000988	3.47e-08	-1.78e+01	9.3161	-1.06	LOC101930404///SNORD116-28///SNORD115-26///SNORD115-13///SNORD115-7///SNORD116-22///SNORD116-4///PWARSN///SNORD107///SNRPN///IPW	uncharacterized LOC101930404///small nucleolar RNA, C/D box 116-28///small nucleolar RNA, C/D box 115-26///small nucleolar RNA, C/D box 115-13///small nucleolar RNA, C/D box 115-7///small nucleolar RNA, C/D box 116-22///small nucleolar RNA, C/D box 116-4///Prader Willi/Angelman region RNA, SNRPN neighbor///small nucleolar RNA, C/D box 107///small nuclear ribonucleoprotein polypeptide N///imprinted in Prader-Willi syndrome (non-protein coding)
203911_at	0.0000988	3.80e-08	-1.76e+01	9.2414	-1.10	RAP1GAP	RAP1 GTPase activating protein
208399_s_at	0.0000988	4.16e-08	-1.74e+01	9.16505	-9.76e-01	EDN3	endothelin 3
210078_s_at	0.0000988	4.70e-08	-1.72e+01	9.06341	-9.30e-01	KCNAB1	potassium voltage-gated channel subfamily A member regulatory beta subunit 1
219195_at	0.0000988	5.38e-08	-1.69e+01	8.94818	-9.33e-01	PPARGC1A	PPARG coactivator 1 alpha
221974_at	0.0000988	5.55e-08	-1.69e+01	8.9227	-1.14	LOC101930404///SNORD116-28///SNORD115-26///SNORD115-13///SNORD115-7///SNORD116-22///SNORD116-4///PWARSN///SNORD107///SNRPN///IPW	uncharacterized LOC101930404///small nucleolar RNA, C/D box 116-28///small nucleolar RNA, C/D box 115-26///small nucleolar RNA, C/D box 115-13///small nucleolar RNA, C/D box 115-7///small nucleolar RNA, C/D box 116-22///small nucleolar RNA, C/D box 116-4///Prader Willi/Angelman region RNA, SNRPN neighbor///small nucleolar RNA, C/D box 107///small nuclear ribonucleoprotein polypeptide N///imprinted in Prader-Willi syndrome (non-protein coding)
206457_s_at	0.0000988	5.76e-08	-1.68e+01	8.89027	-1.73	DIO1	deiodinase, iodothyronine type I
206893_at	0.00009969	6.26e-08	-1.66e+01	8.81945	-1.08	SALL1	spalt like transcription factor 1
215692_s_at	0.00010578	7.12e-08	-1.64e+01	8.70957	-9.98e-01	MPPED2	metallophosphoesterase domain containing 2
214307_at	0.00010681	7.67e-08	-1.62e+01	8.64565	-8.82e-01	HGD	homogentisate 1,2-dioxygenase
211276_at	0.00013378	1.02e-07	-1.57e+01	8.39738	-1.27	TCEAL2	transcription elongation factor A like 2
203639_s_at	0.0001371	1.15e-07	-1.55e+01	8.2964	-1.40	FGFR2	fibroblast growth factor receptor 2
213900_at	0.0001371	1.17e-07	-1.55e+01	8.27832	-1.03	FAM189A2	family with sequence similarity 189 member A2
210342_s_at	0.00014427	1.36e-07	-1.52e+01	8.14774	-2.10	TPO	thyroid peroxidase
204085_s_at	0.00014427	1.45e-07	-1.51e+01	8.08833	-8.51e-01	CLN5	ceroid-lipofuscinosis, neuronal 5
213095_x_at	0.00014427	1.48e-07	1.50e+01	8.0671	1.70	AIF1	allograft inflammatory factor 1
201522_x_at	0.00014427	1.49e-07	-1.50e+01	8.06402	-8.31e-01	SNURF///SNRPN	SNRPN upstream reading frame///small nuclear ribonucleoprotein polypeptide N
204933_s_at	0.00015014	1.62e-07	-1.49e+01	7.99054	-1.21	TNFRSF11B	TNF receptor superfamily member 11b
201562_s_at	0.00015104	1.76e-07	-1.47e+01	7.91591	-1.21	SORD	sorbitol dehydrogenase
203980_at	0.00015104	1.76e-07	-1.47e+01	7.91355	-1.45	FABP4	fatty acid binding protein 4
201088_at	0.00017821	2.16e-07	1.44e+01	7.73061	8.37e-01	KPNA2	karyopherin subunit alpha 2
219949_at	0.00025667	3.23e-07	-1.37e+01	7.3649	-8.63e-01	LRRC2	leucine rich repeat containing 2
206042_x_at	0.00025933	3.42e-07	-1.36e+01	7.31025	-9.93e-01	SNURF///SNRPN	SNRPN upstream reading frame///small nuclear ribonucleoprotein polypeptide N
203923_s_at	0.00025933	3.51e-07	1.36e+01	7.28798	8.92e-01	CYBB	cytochrome b-245 beta chain
206068_s_at	0.00025933	3.61e-07	-1.35e+01	7.26168	-8.41e-01	ACADL	acyl-CoA dehydrogenase, long chain
211762_s_at	0.00026439	3.85e-07	1.34e+01	7.202	8.77e-01	KPNA2	karyopherin subunit alpha 2
205710_at	0.00026439	4.01e-07	-1.34e+01	7.16296	-1.14	LRP2	LDL receptor related protein 2
216442_x_at	0.00026439	4.03e-07	1.33e+01	7.15841	1.15	FN1	fibronectin 1
214157_at	0.00027665	4.37e-07	-1.32e+01	7.08413	-9.55e-01	GNAS	GNAS complex locus
