ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID
10_11_7	0.000023	1.84e-09	-21.194496	11.70159	-4.9103724			
7_5_6	0.0000255	4.08e-09	-19.490998	11.09604	-4.4119188	METTL7A	methyltransferase like 7A	25840
3_8_6	0.0000323	7.77e-09	-18.212526	10.58582	-5.3918108	AKT3	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)	10000
46_17_4	0.0000351	1.12e-08	-17.514496	10.28446	-5.110758			
3_17_5	0.0000584	2.34e-08	16.205911	9.67095	4.7201851	PBK	PDZ binding kinase	55872
18_28_2	0.0000765	3.68e-08	-15.442921	9.28099	-5.221281	TFF3	trefoil factor 3 (intestinal)	7033
46_24_1	0.000095	6.05e-08	-14.642095	8.84331	-4.1771314			
43_30_6	0.000095	6.09e-08	-14.632528	8.8379	-3.585249	SH3BGRL2	SH3 domain binding glutamic acid-rich protein like 2	83699
3_31_2	0.0000996	7.18e-08	-14.374507	8.69013	-4.6179866	CRABP1	cellular retinoic acid binding protein 1	1381
49_26_2	0.0001078	8.64e-08	-14.092811	8.52493	-3.675545	NTRK2	neurotrophic tyrosine kinase, receptor, type 2	4915
18_17_4	0.0001135	1.05e-07	-13.79825	8.34769	-3.6748098			
43_13_5	0.0001135	1.11e-07	-13.717635	8.29837	-5.9990488	MATN2	matrilin 2	4147
39_13_7	0.0001135	1.18e-07	-13.624914	8.24119	-5.2336105	DMD	dystrophin (muscular dystrophy, Duchenne and Becker types)	1756
10_28_2	0.0001162	1.30e-07	-13.482214	8.15226	-5.885318	MATN2	matrilin 2	4147
48_24_3	0.0001433	1.72e-07	-13.082297	7.89681	-3.1124035	TADA3L	transcriptional adaptor 3 (NGG1 homolog, yeast)-like	10474
57_23_2	0.0001458	1.87e-07	-12.967552	7.82178	-3.0805631	PLEKHH1	pleckstrin homology domain containing, family H (with MyTH4 domain) member 1	57475
4_18_4	0.0001478	2.01e-07	12.863536	7.75308	3.9122134	CENPF	centromere protein F, 350/400ka (mitosin)	1063
56_24_4	0.0001701	2.45e-07	-12.590288	7.56942	-4.3757208	TACSTD1	tumor-associated calcium signal transducer 1	4072
51_20_3	0.0001728	2.64e-07	-12.491031	7.50154	-4.8336418	CMAH	cytidine monophosphate-N-acetylneuraminic acid hydroxylase (CMP-N-acetylneuraminate monooxygenase)	8418
8_6_2	0.0001728	3.10e-07	12.273449	7.35054	2.699581	ZWINTAS///ZWINT	ZW10 interactor antisense///ZW10 interactor	53588///11130
