ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID
213071_at	8.40e-08	3.77e-12	-1.55e+01	16.3823632	-1.22	DPT	dermatopontin	1805
202995_s_at	8.59e-08	7.71e-12	-1.49e+01	15.8509715	-8.00e-01	FBLN1	fibulin 1	2192
204955_at	1.38e-07	2.14e-11	-1.40e+01	15.0735926	-8.49e-01	SRPX	sushi repeat containing protein, X-linked	8406
214349_at	1.38e-07	3.11e-11	-1.37e+01	14.7820063	-1.31			
202994_s_at	1.38e-07	3.59e-11	-1.36e+01	14.6698116	-1.26	FBLN1	fibulin 1	2192
211896_s_at	1.38e-07	4.13e-11	-1.35e+01	14.5582917	-1.36	DCN	decorin	1634
209335_at	1.38e-07	4.33e-11	-1.35e+01	14.5219027	-1.19	DCN	decorin	1634
211813_x_at	1.93e-07	6.94e-11	-1.31e+01	14.1470477	-1.64	DCN	decorin	1634
209687_at	3.35e-07	1.35e-10	-1.26e+01	13.6108415	-1.20	CXCL12	C-X-C motif chemokine ligand 12	6387
201893_x_at	3.83e-07	1.72e-10	-1.24e+01	13.4158363	-1.49	DCN	decorin	1634
213068_at	1.18e-06	5.81e-10	-1.15e+01	12.4105248	-1.00	DPT	dermatopontin	1805
219059_s_at	1.43e-06	7.70e-10	-1.13e+01	12.1736533	-7.16e-01	LYVE1	lymphatic vessel endothelial hyaluronan receptor 1	10894
205907_s_at	5.23e-06	3.05e-09	-1.04e+01	10.9991226	-5.30e-01	OMD	osteomodulin	4958
201525_at	1.68e-05	1.06e-08	-9.64	9.9098265	-1.02	APOD	apolipoprotein D	347
201787_at	1.68e-05	1.16e-08	-9.59	9.8343245	-5.47e-01	FBLN1	fibulin 1	2192
209613_s_at	1.68e-05	1.21e-08	-9.56	9.7971646	-7.09e-01	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	125
203131_at	1.91e-05	1.46e-08	-9.45	9.6330761	-7.78e-01	PDGFRA	platelet derived growth factor receptor alpha	5156
202992_at	2.34e-05	1.89e-08	-9.29	9.4009554	-1.11	C7	complement component 7	730
204872_at	3.95e-05	3.36e-08	-8.95	8.8872469	-6.66e-01	TLE4	transducin like enhancer of split 4	7091
207977_s_at	4.39e-05	3.94e-08	-8.86	8.7449081	-9.71e-01	DPT	dermatopontin	1805
211726_s_at	6.08e-05	5.73e-08	-8.64	8.4079529	-5.99e-01	FMO2	flavin containing monooxygenase 2	2327
221019_s_at	6.23e-05	6.15e-08	-8.60	8.344805	-4.93e-01	COLEC12	collectin subfamily member 12	81035
