GeneID	padj	P.Value	lfcSE	stat	logFC	baseMean	Gene.symbol	Description
10568	3.18E-114	1.38E-118	0.3232	23.152371	7.4838935	83467.16	SLC34A2	solute carrier family 34 member 2
2561	2.19E-96	1.89E-100	0.358	21.276034	7.6177524	3652.55	GABRB2	gamma-aminobutyric acid type A receptor subunit beta2
112268430	6.46E-92	8.39E-96	0.2634	20.768238	5.4696924	1898.47	LOC112268430	
81501	9.32E-66	1.61E-69	0.4796	17.623996	8.4518674	2742.81	DCSTAMP	dendrocyte expressed seven transmembrane protein
200879	7.24E-57	1.56E-60	0.3959	16.412181	6.4972017	1870.59	LIPH	lipase H
23220	1.79E-46	4.65E-50	0.2753	14.87704	4.0961448	11924.02	DTX4	deltex E3 ubiquitin ligase 4
10046	8.57E-46	2.59E-49	0.1582	14.761522	2.3357648	233.29	MAMLD1	mastermind like domain containing 1
2335	5.04E-45	1.74E-48	0.4205	14.632432	6.1525947	282584.16	FN1	fibronectin 1
25791	4.29E-44	1.67E-47	0.4059	14.477948	5.8759085	469.53	NGEF	neuronal guanine nucleotide exchange factor
105377694	8.21E-40	3.55E-43	0.4804	13.776071	6.6183743	348.98	LOC105377694	uncharacterized LOC105377694
81607	1.43E-39	6.82E-43	0.4536	13.728816	6.2271893	453.58	NECTIN4	nectin cell adhesion molecule 4
94234	5.23E-39	2.71E-42	0.2964	13.628405	4.0389841	447.13	FOXQ1	forkhead box Q1
9518	8.37E-39	4.71E-42	0.4564	13.588154	6.2018528	1088.98	GDF15	growth differentiation factor 15
56649	4.95E-37	2.99E-40	0.5601	13.280737	7.4387699	986.24	TMPRSS4	transmembrane serine protease 4
64220	5.03E-36	3.26E-39	0.3229	13.100693	4.2304359	228.93	STRA6	signaling receptor and transporter of retinol STRA6
94122	2.16E-33	1.49E-36	0.5355	12.627368	6.7624959	855.48	SYTL5	synaptotagmin like 5
6712	2.17E-33	1.60E-36	0.2864	12.622032	3.6149585	749.8	SPTBN2	"spectrin beta, non-erythrocytic 2"
196410	5.01E-33	3.90E-36	0.3752	12.551569	4.7092262	381.57	METTL7B	methyltransferase like 7B
10331	1.26E-32	1.04E-35	0.625	12.473778	7.7966251	1768.98	B3GNT3	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3"
6324	5.59E-31	4.83E-34	0.1992	12.163991	2.4234514	245.23	SCN1B	sodium voltage-gated channel beta subunit 1
164656	1.89E-29	1.72E-32	0.5486	11.868991	6.5111671	783.4	TMPRSS6	transmembrane serine protease 6
284656	1.68E-28	1.60E-31	0.4126	11.68057	4.8193801	138.81	EPHA10	EPH receptor A10
57477	4.00E-28	3.98E-31	0.2235	11.602897	2.593326	3614.62	SHROOM4	shroom family member 4
91683	6.79E-28	7.05E-31	0.7022	11.553952	8.1130775	825.95	SYT12	synaptotagmin 12
10577	1.62E-27	1.83E-30	0.2405	11.471944	2.7593444	14048.49	NPC2	NPC intracellular cholesterol transporter 2
100616211	1.62E-27	1.82E-30	0.2348	11.472256	2.6936975	9073.44	MIR4709	microRNA 4709
4233	8.91E-25	1.04E-27	0.3313	10.909316	3.6142833	22478.55	MET	"MET proto-oncogene, receptor tyrosine kinase"
4070	2.42E-24	2.93E-27	0.5032	10.814857	5.4416795	3969.36	TACSTD2	tumor associated calcium signal transducer 2
5655	4.28E-24	5.37E-27	0.5052	10.759063	5.4356077	369.38	KLK10	kallikrein related peptidase 10
170261	4.57E-24	5.94E-27	0.6779	10.749861	7.2877414	1970.86	ZCCHC12	zinc finger CCHC-type containing 12
6258	8.54E-24	1.15E-26	0.4832	10.689074	5.1647747	641.55	RXRG	retinoid X receptor gamma
107986201	9.11E-24	1.26E-26	0.4719	10.680119	5.0402118	313.41	LOC107986201	uncharacterized LOC107986201
4038	4.70E-23	6.71E-26	0.3651	10.523867	3.8421858	2969.5	LRP4	LDL receptor related protein 4
442117	1.66E-22	2.44E-25	0.4724	10.401543	4.9138088	314.84	GALNTL6	polypeptide N-acetylgalactosaminyltransferase like 6
10686	2.40E-22	3.63E-25	0.626	10.363627	6.487605	2754.06	CLDN16	claudin 16
3786	4.19E-22	6.52E-25	0.4321	10.307464	4.4537239	1777.75	KCNQ3	potassium voltage-gated channel subfamily Q member 3
5265	1.38E-21	2.20E-24	0.5141	10.189684	5.2389854	14453.53	SERPINA1	serpin family A member 1
146429	1.44E-21	2.37E-24	0.6943	10.182839	7.0697922	159.63	SLC22A31	solute carrier family 22 member 31
53358	1.52E-21	2.56E-24	0.2708	10.175201	2.7549981	543.17	SHC3	SHC adaptor protein 3
112268287	1.72E-21	3.05E-24	0.5873	10.157954	5.9660188	169.84	LOC112268287	
100507401	1.72E-21	3.01E-24	0.3696	10.159425	3.7546829	148.68	LRP4-AS1	LRP4 antisense RNA 1
