ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID
3_31_2	7.72e-09	6.18e-13	-23.1211303	17.85021	-4.5070876	CRABP1	cellular retinoic acid binding protein 1	1381
39_13_7	3.51e-08	5.62e-12	-19.7967908	16.36077	-5.4658969	DMD	dystrophin (muscular dystrophy, Duchenne and Becker types)	1756
51_20_3	6.90e-08	1.96e-11	-18.1194838	15.44802	-5.0475288	CMAH	cytidine monophosphate-N-acetylneuraminic acid hydroxylase (CMP-N-acetylneuraminate monooxygenase)	8418
3_8_6	6.90e-08	2.21e-11	-17.9640023	15.35696	-5.79651	AKT3	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)	10000
51_25_3	1.65e-07	6.60e-11	-16.614341	14.51538	-3.623811	FZD1	frizzled homolog 1 (Drosophila)	8321
45_29_4	1.74e-07	8.39e-11	-16.330562	14.32603	-4.1421982	CD97	CD97 molecule	976
40_18_7	9.80e-07	5.49e-10	-14.2547297	12.7916	-3.706897	PBX1	pre-B-cell leukemia homeobox 1	5087
19_8_6	1.01e-06	6.47e-10	-14.0858123	12.65409	-2.8120799			
25_24_6	4.45e-06	3.21e-09	-12.5207682	11.27615	-2.4974325	MGLL	monoglyceride lipase	11343
33_16_5	1.46e-05	1.17e-08	-11.3670142	10.12647	-1.9432805	ARHGAP6	Rho GTPase activating protein 6	395
39_7_4	1.61e-05	1.42e-08	11.1993242	9.94885	1.9772383	P4HA2	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide II	8974
35_8_6	3.42e-05	3.29e-08	-10.5043298	9.18198	-3.0551016	ARHGAP25	Rho GTPase activating protein 25	9938
44_13_6	6.04e-05	6.29e-08	-9.9919526	8.58326	-3.394822	MRPS15///EPHB1	mitochondrial ribosomal protein S15///EPH receptor B1	64960///2047
24_22_2	6.71e-05	7.53e-08	-9.8527522	8.41546	-1.5142491	SEPP1	selenoprotein P, plasma, 1	6414
30_13_7	6.74e-05	8.10e-08	-9.7972719	8.34795	-4.687379	MMRN1	multimerin 1	22915
30_23_6	9.67e-05	1.30e-07	-9.4402068	7.90475	-1.5265044	NFIA	nuclear factor I/A	4774
12_18_3	9.67e-05	1.32e-07	-9.4306484	7.89267	-2.1308062	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2	9060
4_22_7	1.16e-04	1.69e-07	-9.245827	7.65698	-1.6680522	EPHA3	EPH receptor A3	2042
46_8_6	1.16e-04	1.77e-07	9.213117	7.61482	1.7639857	EML4	echinoderm microtubule associated protein like 4	27436
56_26_4	1.16e-04	1.86e-07	-9.1784578	7.57001	-1.9559716	EPHA3	EPH receptor A3	2042
41_23_5	1.28e-04	2.22e-07	-9.0498266	7.40238	-1.8623691	TAOK3	TAO kinase 3	51347
6_11_6	1.28e-04	2.25e-07	-9.037933	7.38678	-2.2756464	RRAGD	Ras-related GTP binding D	58528
9_8_6	1.46e-04	2.75e-07	-8.8942707	7.19685	-1.6874947	PPM1F	protein phosphatase 1F (PP2C domain containing)	9647
45_17_1	1.46e-04	2.84e-07	-8.8726259	7.16801	-1.5869711	FOLR1	folate receptor 1 (adult)	2348
36_2_7	1.46e-04	2.93e-07	-8.8502698	7.13815	-3.3231429	KIAA1324	KIAA1324	57535
38_16_6	1.52e-04	3.17e-07	-8.7946925	7.06365	-2.4558359	FAM84A	family with sequence similarity 84, member A	151354
13_4_6	1.84e-04	4.07e-07	-8.6189389	6.82539	-1.909527	TBC1D4	TBC1 domain family, member 4	9882
50_8_6	1.84e-04	4.12e-07	-8.6100086	6.81318	-1.975139			
47_16_6	2.20e-04	5.11e-07	-8.4613037	6.60822	-1.2108411	BRP44L	brain protein 44-like	51660
20_8_6	2.25e-04	5.42e-07	-8.4215305	6.5529	-1.7187352			
20_27_1	2.80e-04	7.12e-07	-8.2352147	6.2909	-5.8444703	ADD2	adducin 2 (beta)	119
30_3_7	2.80e-04	7.28e-07	-8.2205576	6.27009	-2.1109994	PMS2L11///KIAA1505	postmeiotic segregation increased 2-like 11///KIAA1505 protein	441263///57639
54_31_6	2.80e-04	7.40e-07	-8.209418	6.25425	-1.5955234	HMBOX1	homeobox containing 1	79618
40_13_2	2.82e-04	7.69e-07	8.1838819	6.21788	1.6500916	FLJ10986	hypothetical protein FLJ10986	55277
14_20_3	2.99e-04	8.38e-07	-8.1256981	6.13468	-1.4711039	RPS6KA5	ribosomal protein S6 kinase, 90kDa, polypeptide 5	9252
54_12_6	3.91e-04	1.13e-06	-7.9288196	5.84965	-1.7128947	C20orf19	chromosome 20 open reading frame 19	55857
48_3_8	3.92e-04	1.16e-06	-7.9090119	5.82068	-1.4230397	SEPP1	selenoprotein P, plasma, 1	6414
15_20_3	4.29e-04	1.31e-06	7.8304521	5.70521	1.7633464	XPR1	xenotropic and polytropic retrovirus receptor	9213
56_9_6	4.29e-04	1.34e-06	-7.8158978	5.68372	-1.0703241	C12orf52	chromosome 12 open reading frame 52	84934
60_2_7	4.32e-04	1.38e-06	-7.7952789	5.65323	-1.5368307			
38_24_3	4.46e-04	1.47e-06	-7.7574184	5.59708	-1.02405	TFB1M	transcription factor B1, mitochondrial	51106
12_9_7	4.71e-04	1.59e-06	-7.7066422	5.52146	-2.7309158	SOX4	SRY (sex determining region Y)-box 4	6659
8_31_4	4.72e-04	1.63e-06	7.6903384	5.4971	2.6130803	HPR	haptoglobin-related protein	3250
30_17_7	5.07e-04	1.79e-06	-7.6281136	5.40377	-1.4744708	INTS1	integrator complex subunit 1	26173
23_24_6	5.07e-04	1.84e-06	7.6093836	5.37557	2.4646394	PSD3	pleckstrin and Sec7 domain containing 3	23362
12_12_4	5.07e-04	1.87e-06	-7.6013868	5.36352	-1.4667506	TLE4	transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila)	7091
9_28_3	5.69e-04	2.16e-06	7.5086249	5.223	1.7558163	GAL3ST1	galactose-3-O-sulfotransferase 1	9514
32_12_7	5.69e-04	2.19e-06	-7.5005778	5.21076	-2.8887508	PRAME	preferentially expressed antigen in melanoma	23532
57_19_5	5.81e-04	2.28e-06	7.4732558	5.1691	3.7676611			
6_27_6	6.28e-04	2.51e-06	-7.4121718	5.07558	-1.2393708	PGM5	phosphoglucomutase 5	5239
18_5_3	6.40e-04	2.69e-06	-7.3704383	5.01137	-1.6131308	USP9Y	ubiquitin specific peptidase 9, Y-linked (fat facets-like, Drosophila)	8287
34_19_3	6.40e-04	2.79e-06	-7.3476458	4.9762	-1.9509334	KIAA1727	KIAA1727 protein	85462
32_2_6	6.40e-04	2.80e-06	-7.3441728	4.97083	-1.6645037	SASH1	SAM and SH3 domain containing 1	23328
8_20_4	6.40e-04	2.82e-06	7.3404439	4.96506	1.5375963	ITGBL1	integrin, beta-like 1 (with EGF-like repeat domains)	9358
1_15_1	6.40e-04	2.82e-06	7.3401274	4.96458	2.6007642	FLJ10986	hypothetical protein FLJ10986	55277
3_9_3	6.52e-04	2.93e-06	-7.316609	4.92818	-3.1259189	SFRP1	secreted frizzled-related protein 1	6422
44_18_7	6.54e-04	2.99e-06	-7.3036075	4.90802	-1.0863321	MTERFD3	MTERF domain containing 3	80298
14_2_2	6.58e-04	3.06e-06	-7.2889871	4.88532	-2.7590582	GPC3	glypican 3	2719
23_9_6	6.76e-04	3.19e-06	7.2617912	4.84302	1.9862837	TIAM1	T-cell lymphoma invasion and metastasis 1	7074
35_28_3	6.77e-04	3.25e-06	7.2501505	4.82488	2.4400052	NPC2	Niemann-Pick disease, type C2	10577
12_2_7	6.86e-04	3.35e-06	-7.2317816	4.79621	-2.2960401	KIAA1217	KIAA1217	56243
37_26_4	7.78e-04	3.87e-06	7.1436249	4.65795	4.3453328	SCEL	sciellin	8796
47_16_1	7.78e-04	3.93e-06	-7.1336811	4.64228	-1.3931544	FHIT	fragile histidine triad gene	2272
50_30_1	7.96e-04	4.08e-06	7.1103817	4.60551	1.4608537	FAS	Fas (TNF receptor superfamily, member 6)	355
22_9_1	8.08e-04	4.21e-06	7.091354	4.57543	2.0139575	PCK1	phosphoenolpyruvate carboxykinase 1 (soluble)	5105
37_8_6	8.34e-04	4.48e-06	-7.053258	4.51503	-1.3050059	ANKRD46	ankyrin repeat domain 46	157567
58_4_4	8.34e-04	4.51e-06	-7.0489316	4.50815	-1.3744184	CSNK1D	casein kinase 1, delta	1453
13_13_6	8.34e-04	4.54e-06	-7.0443937	4.50094	-1.8355207	PID1	phosphotyrosine interaction domain containing 1	55022
31_8_6	8.37e-04	4.63e-06	7.0332243	4.48318	1.7651685	EXPH5	exophilin 5	23086
32_26_2	8.81e-04	4.94e-06	-6.992778	4.4187	-1.7114326	PGA3	pepsinogen 3, group I (pepsinogen A)	643834
52_22_6	9.01e-04	5.12e-06	6.9706631	4.38334	1.336123	MTHFD1L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like	25902
48_16_7	9.40e-04	5.42e-06	-6.9361042	4.32794	-1.1653244	PRUNE	prune homolog (Drosophila)	58497
11_20_5	9.48e-04	5.54e-06	-6.9229591	4.30682	-1.7089714	ARHGEF4	Rho guanine nucleotide exchange factor (GEF) 4	50649
49_21_7	9.69e-04	5.74e-06	6.9016289	4.27249	1.3402468	PDZD8	PDZ domain containing 8	118987
