#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABAT	ARG2	9606.ENSP00000379845	9606.ENSP00000261783	0.079	0	0	0	0.095	0	0.311	0.190	0.473
ABAT	HGD	9606.ENSP00000379845	9606.ENSP00000283871	0	0	0	0	0.309	0	0	0.204	0.427
ABAT	ALDH5A1	9606.ENSP00000379845	9606.ENSP00000314649	0.055	0	0	0	0.263	0.134	0.946	0.855	0.994
ABAT	MAOA	9606.ENSP00000379845	9606.ENSP00000340684	0.057	0	0	0	0.086	0	0	0.440	0.475
ABAT	ASS1	9606.ENSP00000379845	9606.ENSP00000361471	0	0	0	0	0.104	0	0	0.445	0.482
ABLIM1	TRIO	9606.ENSP00000277895	9606.ENSP00000339299	0	0	0	0	0.047	0	0.500	0.180	0.575
ACADL	HGD	9606.ENSP00000233710	9606.ENSP00000283871	0.041	0	0	0	0.126	0	0	0.361	0.417
ACADL	ALDH5A1	9606.ENSP00000233710	9606.ENSP00000314649	0.042	0	0	0	0.122	0	0.182	0.299	0.454
ACADL	GPD1L	9606.ENSP00000233710	9606.ENSP00000282541	0	0	0	0	0.089	0	0	0.465	0.492
ACADL	SCD	9606.ENSP00000233710	9606.ENSP00000359380	0	0	0	0	0	0	0	0.492	0.492
ACADL	PPARGC1A	9606.ENSP00000233710	9606.ENSP00000264867	0	0	0	0	0.058	0	0	0.638	0.645
ACP5	FCER1G	9606.ENSP00000218758	9606.ENSP00000289902	0	0	0	0	0.167	0	0	0.321	0.410
ACP5	CTSS	9606.ENSP00000218758	9606.ENSP00000357981	0	0	0	0	0.158	0	0	0.345	0.425
ACP5	NT5E	9606.ENSP00000218758	9606.ENSP00000257770	0	0	0	0	0.067	0	0	0.423	0.439
ACP5	ITGAM	9606.ENSP00000218758	9606.ENSP00000496959	0	0	0	0	0.139	0	0	0.435	0.492
ACP5	TYROBP	9606.ENSP00000218758	9606.ENSP00000262629	0	0	0	0	0.227	0	0	0.370	0.492
ACP5	TCIRG1	9606.ENSP00000218758	9606.ENSP00000265686	0	0	0	0	0.142	0	0	0.459	0.516
ACP5	CKB	9606.ENSP00000218758	9606.ENSP00000299198	0	0	0	0	0	0	0	0.544	0.544
ACP5	CSF1R	9606.ENSP00000218758	9606.ENSP00000286301	0	0	0	0	0.151	0	0	0.581	0.629
ACP5	JUN	9606.ENSP00000218758	9606.ENSP00000360266	0	0	0	0	0.044	0	0	0.629	0.630
ACP5	SPP1	9606.ENSP00000218758	9606.ENSP00000378517	0	0	0	0	0.084	0.095	0	0.669	0.701
ACP5	MMP9	9606.ENSP00000218758	9606.ENSP00000361405	0	0	0	0	0.203	0	0	0.697	0.748
ACP5	TNFRSF11B	9606.ENSP00000218758	9606.ENSP00000297350	0	0	0	0	0.066	0	0	0.770	0.776
ACP5	FOS	9606.ENSP00000218758	9606.ENSP00000306245	0	0	0	0	0.050	0	0	0.810	0.812
ACTR2	MYO5C	9606.ENSP00000367220	9606.ENSP00000261839	0	0	0	0	0	0.345	0	0.166	0.430
ACTR2	FCGR2A	9606.ENSP00000367220	9606.ENSP00000271450	0	0	0	0	0.072	0	0.400	0.068	0.435
ACTR2	WASF3	9606.ENSP00000367220	9606.ENSP00000335055	0	0	0	0	0	0.045	0.500	0.483	0.731
ACTR2	CD44	9606.ENSP00000367220	9606.ENSP00000398632	0	0	0	0	0.107	0.292	0	0.137	0.406
ACTR2	WIPF1	9606.ENSP00000367220	9606.ENSP00000376330	0	0	0	0	0.075	0.242	0.500	0.799	0.920
ACTR2	ARPC1B	9606.ENSP00000367220	9606.ENSP00000389631	0	0	0	0	0.746	0.997	0.900	0.991	0.999
ADAM12	SNTA1	9606.ENSP00000357668	9606.ENSP00000217381	0	0	0	0	0	0	0	0.491	0.491
ADAM12	TIMP1	9606.ENSP00000357668	9606.ENSP00000218388	0	0	0	0	0.094	0	0	0.418	0.450
ADAM12	IGFBP5	9606.ENSP00000357668	9606.ENSP00000233813	0	0	0	0	0.084	0.292	0	0.367	0.553
ADAM12	CCN4	9606.ENSP00000357668	9606.ENSP00000250160	0	0	0	0	0.285	0	0	0.290	0.470
ADAM12	MMP14	9606.ENSP00000357668	9606.ENSP00000308208	0	0	0	0	0.192	0	0	0.452	0.539
ADAM12	SGCD	9606.ENSP00000357668	9606.ENSP00000338343	0	0	0	0	0.097	0	0	0.528	0.555
ADAM12	FN1	9606.ENSP00000357668	9606.ENSP00000346839	0	0	0	0	0.128	0	0	0.632	0.665
ADAM12	SERPINH1	9606.ENSP00000357668	9606.ENSP00000434412	0	0	0	0	0.083	0	0	0.373	0.400
ADAM12	SPP1	9606.ENSP00000357668	9606.ENSP00000378517	0	0	0	0	0.058	0	0	0.426	0.436
ADAM12	PGF	9606.ENSP00000357668	9606.ENSP00000451040	0	0	0	0	0.056	0	0	0.435	0.443
ADAM12	COL5A1	9606.ENSP00000357668	9606.ENSP00000360882	0	0	0	0	0.246	0	0	0.383	0.515
ADAM12	MMP9	9606.ENSP00000357668	9606.ENSP00000361405	0	0	0	0	0.106	0	0	0.600	0.628
ADD3	ANK3	9606.ENSP00000348381	9606.ENSP00000280772	0	0	0	0	0.090	0	0	0.978	0.979
ADD3	PLXNB1	9606.ENSP00000348381	9606.ENSP00000351338	0	0	0	0	0	0	0.400	0	0.400
ADD3	ENO1	9606.ENSP00000348381	9606.ENSP00000495530	0	0	0	0	0	0	0	0.485	0.485
ADD3	MARCKS	9606.ENSP00000348381	9606.ENSP00000478061	0	0	0	0	0.058	0.082	0	0.745	0.760
