#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCA8	ADH1B	9606.ENSP00000467271	9606.ENSP00000306606	0	0	0	0	0.391	0	0	0.236	0.514
ABCA8	IGF1	9606.ENSP00000467271	9606.ENSP00000376637	0	0	0	0	0.151	0	0	0.403	0.471
ABCA8	MFAP4	9606.ENSP00000467271	9606.ENSP00000378957	0	0	0	0	0.138	0.045	0	0.442	0.501
ADH1B	FMO2	9606.ENSP00000306606	9606.ENSP00000209929	0	0	0	0	0.340	0	0	0.335	0.542
ADH1B	ALDH3B1	9606.ENSP00000306606	9606.ENSP00000473990	0.048	0	0	0	0.107	0	0.706	0.360	0.819
ADH1B	ALDH1A3	9606.ENSP00000306606	9606.ENSP00000332256	0.048	0.002	0	0	0.120	0	0.706	0.368	0.824
ALDH1A3	PROM1	9606.ENSP00000332256	9606.ENSP00000426809	0	0	0	0	0.047	0	0	0.496	0.499
ANGPTL4	SERPINF1	9606.ENSP00000301455	9606.ENSP00000254722	0	0	0	0	0.045	0	0	0.481	0.484
ANGPTL4	MYC	9606.ENSP00000301455	9606.ENSP00000478887	0	0	0	0	0.054	0.287	0	0.284	0.474
C1R	DCN	9606.ENSP00000444271	9606.ENSP00000052754	0	0	0	0	0.367	0	0	0.369	0.584
C1R	SERPINF1	9606.ENSP00000444271	9606.ENSP00000254722	0	0	0	0	0.174	0.045	0	0.311	0.409
C1R	SERPING1	9606.ENSP00000444271	9606.ENSP00000278407	0	0	0	0	0.510	0.609	0.900	0.999	0.999
C1R	FBLN1	9606.ENSP00000444271	9606.ENSP00000331544	0	0	0	0	0.288	0.094	0	0.225	0.456
C1R	CFH	9606.ENSP00000444271	9606.ENSP00000356399	0	0	0	0	0.442	0	0	0.732	0.844
C1R	C1S	9606.ENSP00000444271	9606.ENSP00000385035	0	0	0.094	0.875	0.999	0.983	0.900	0.985	0.999
C1S	DCN	9606.ENSP00000385035	9606.ENSP00000052754	0	0	0	0	0.466	0	0	0.295	0.608
C1S	SERPINF1	9606.ENSP00000385035	9606.ENSP00000254722	0	0	0	0	0.207	0.045	0	0.374	0.485
C1S	SERPING1	9606.ENSP00000385035	9606.ENSP00000278407	0	0	0	0	0.441	0.694	0.900	0.999	0.999
C1S	FBLN1	9606.ENSP00000385035	9606.ENSP00000331544	0	0	0	0	0.255	0.094	0	0.240	0.442
C1S	CFH	9606.ENSP00000385035	9606.ENSP00000356399	0	0	0	0	0.353	0	0	0.621	0.744
CALCA	LYZ	9606.ENSP00000331746	9606.ENSP00000261267	0	0	0	0	0	0	0.400	0.067	0.416
CCL19	LYVE1	9606.ENSP00000308815	9606.ENSP00000256178	0	0	0	0	0.109	0	0	0.447	0.486
CCL19	CCL21	9606.ENSP00000308815	9606.ENSP00000259607	0	0	0	0.838	0.769	0	0.900	0.908	0.997
CCL19	NTRK2	9606.ENSP00000308815	9606.ENSP00000277120	0	0	0	0	0.062	0	0	0.438	0.450
CCL19	RARRES2	9606.ENSP00000308815	9606.ENSP00000418009	0	0	0	0	0.107	0	0	0.612	0.638
CCL21	LYVE1	9606.ENSP00000259607	9606.ENSP00000256178	0	0	0	0	0.140	0	0	0.743	0.770
CCL21	S100A8	9606.ENSP00000259607	9606.ENSP00000357721	0	0	0.499	0	0.089	0	0	0.088	0.547
CCN3	IGF1	9606.ENSP00000259526	9606.ENSP00000376637	0	0	0	0	0.042	0.292	0	0.301	0.484
CCN3	FBLN1	9606.ENSP00000259526	9606.ENSP00000331544	0	0	0	0	0.062	0.292	0	0.512	0.647
CDH13	TIMP3	9606.ENSP00000268613	9606.ENSP00000266085	0	0	0	0	0.107	0	0	0.480	0.516
CFD	SERPING1	9606.ENSP00000468253	9606.ENSP00000278407	0	0	0	0	0.089	0.045	0	0.373	0.407
CFD	CFH	9606.ENSP00000468253	9606.ENSP00000356399	0	0	0	0	0.060	0	0	0.488	0.499
CFD	RARRES2	9606.ENSP00000468253	9606.ENSP00000418009	0	0	0	0	0.060	0	0	0.507	0.516
CFH	SERPINF1	9606.ENSP00000356399	9606.ENSP00000254722	0	0	0	0	0.114	0	0	0.380	0.427
CFH	TIMP3	9606.ENSP00000356399	9606.ENSP00000266085	0	0	0	0	0.107	0	0	0.661	0.684
CFH	SERPING1	9606.ENSP00000356399	9606.ENSP00000278407	0	0	0	0	0.209	0	0	0.664	0.722
CFH	FBLN1	9606.ENSP00000356399	9606.ENSP00000331544	0	0	0	0	0.097	0	0	0.497	0.526
CFH	FBLN5	9606.ENSP00000356399	9606.ENSP00000345008	0	0	0	0	0.102	0	0	0.550	0.578
CHGA	LYZ	9606.ENSP00000216492	9606.ENSP00000261267	0	0	0	0	0	0	0	0.409	0.409
CHGA	SCG2	9606.ENSP00000216492	9606.ENSP00000304133	0	0	0	0	0.252	0.087	0	0.939	0.954
CHRDL1	MFAP4	9606.ENSP00000361112	9606.ENSP00000378957	0	0	0	0	0.149	0.069	0	0.415	0.496
COL14A1	DCN	9606.ENSP00000297848	9606.ENSP00000052754	0	0	0	0	0.276	0.328	0	0.882	0.937
COL14A1	PDGFRA	9606.ENSP00000297848	9606.ENSP00000257290	0	0	0	0	0.206	0	0	0.288	0.411
